效果名	材质数	原 shader 列表	是否含未映射 shader	状态
Buff_UM_Intense	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_1hit_trail_ork	13	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_1shot	3	Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_1shot_pointblank	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_1shot_random_chaos	14	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_1shot_random_EC	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_1shot_trail	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_1shot_trail_EC Daemon	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_1shotSniper	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_1shotSniper_trail	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_2shot	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_2shot_autocannon	15	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_2shot_ork	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_2shot_pointblank_chaos	6	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_2shot_pointblank_EC	6	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_2shot_Titus_AA	11	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_2shot_trail	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_2shot_trail_chaos	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_2shot_trail_EC	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_2shot_trail_EC Daemon	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_2shot_trail_nurgle	14	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_2shot_trail_ork_NEW	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_2shot_trail_twinlink	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_3shot	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_3shot_pointblank	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_3shot_trail	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_3shot_trail_chaos	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_3shot_trail_EC	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_3shot_trail_ork	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_4shot	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_4shot_trail	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_4shot_trail_chaos	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_4shot_trail_EC	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_4shot_trail_nurgle	14	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_4shot_trail_twinlink	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_5shot	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_5shot_trail	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_5shot_trail_chaos	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_5shot_trail_EC	13	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_5shot_trail_ork	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_5shot_trail_ork_low	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_6shot_autocannon_EC	16	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_6shot_trail_EC Daemon	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_9shot	5	Legacy Shaders/Particles/Alpha Blended Premultiply, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_9shot_trail	17	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_9shot_trail_chaos	15	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_9shot_trail_EC	15	Everguild/FX/Extra Color, Everguild/FX/Rays For Trail, Everguild/Matcap/Matcap With Texture, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_9shot_trail_EC_twinlink	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Legacy Shaders/Particles/Alpha Blended Premultiply, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Abaddon_AA_StormBolter	17	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_AcidSpit	6	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_artillery_1shot	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_artillery_arc	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_artillery_big	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_artillery_manticore	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_artillery_manticore_spread	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autocannon	15	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autocannon_Firestrike	12	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autocannon_Hydra	14	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autocannon_rapid	15	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_1shot	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_1shotSniper	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_2shot	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_3shot	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_4shot	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_6shot	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_6shot_twinlink	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_8shot	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_Automatic	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_liberator_1shot	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_liberator_repeat	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_autogun_Shotgun	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Bolter_Large Area	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Bolter_Wide Area	14	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_BulletHole	3	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Chaos_Melta	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_ChaosMissile	20	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_ChemVial	12	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, GlassRefraction, Universal Render Pipeline/Particles/Unlit	是	OK
BulletImpact_Combi_Flamer_Infernus	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_DA_MissileVolley_Ballistus	21	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Unlit UV scroll, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DCannon	14	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DCannon_2	14	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DCannon_2_twinlink	14	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DCannon_twinlink	14	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner Test	6	Everguild/FX/TrailShader_1, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_deathspinner_arc	15	Everguild/FX/Extra Color, Everguild/FX/TrailShader_1, Mobile/Particles/Additive, Shader Graphs/Doomweaver effect, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_deathspinner_arc_alt	13	Everguild/FX/Extra Color, Everguild/FX/TrailShader_1, Mobile/Particles/Additive, Shader Graphs/Doomweaver effect, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner_spider	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, UI/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner_spider_twinlink	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, UI/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner_twinlink	11	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner_twinlink_large	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DeathSpinner_twinlink_large parabolic	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DesolationMissile	18	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DesolationMissile_AOE	18	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_DynamiteBundle_Throw	11	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Eldar_Lasblaster	13	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Flamethrower_ClearanceIncinerator	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Flamethrower_HandFlamer	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_FlamethrowerSororitas	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_FlamethrowerSororitas_long	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_FlamethrowerSororitas_twinlink	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_FusionGun	14	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_gatling_1s	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_gatling_1s_invader	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Ghazghkull_AA	15	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Gordrang	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Grenade_ThumpGun	15	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_GrenadeLauncher	15	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_GrenadierGauntlet	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Kroot_KrootGun OLD	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Kroot_KrootPistol	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Kroot_KrootRifle	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Kroot_KrootScattergun	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Kroot_RepeaterCannon	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Kroot_RepeaterCannon OLD	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Lascannon	17	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Lascannon_2shots	17	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Lascannon_twinlink	17	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Lascannon_twinlink_dread	17	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply Greyscale Coloring, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_LongRifle_trail	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_MagicMissile_EC	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_MagicMissile_EC_Fire	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_MissileToTarget	17	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_MissileToTarget_Orks	17	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Morgrim	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Needle gun_1shot	11	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_noisemarine	12	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Ork Heavy Lobba	18	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Ork Missile Big	12	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
BulletImpact_Ork Missiles 1	18	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Ork Missiles 2	18	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
BulletImpact_Ork Snakebite Squig Hook	16	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
