效果名	改前判定	改后判定	改前|ln|	改后|ln|	变化
Buff_Drach'nyen	E	E	0.573	0.575	+0.003
BulletImpact_1shot_random_chaos	E	E	1.052	0.881	-0.171
BulletImpact_3shot	Z	Z	0.013	0.051	+0.038
Buff_Tau_Kroot_FriendlyBoard	Z	Z	0.294	0.296	+0.002
Jammed Communications damage	Z	Z	0.125	0.264	+0.138
Sau_IndomitableWill	Z	Z	0.105	0.105	+0.000
AcidSpraySweepAttack	E	E	0.726	0.678	-0.048
Squig_Explosion	Z	Z	0.122	0.218	+0.095
BlastEffect	E	C	1.402		变成判定不了
Environmental Condition GSC Sump Overspill	Z	Z	0.016	0.026	+0.011
EC_Sonic Stomp	Z	Z	0.099	0.202	+0.103
Tap Rock	Z	Z	0.061	0.107	+0.046
Shuriken_Short_Trait	Z	Z	0.106	0.101	-0.005
BulletImpact_6shot_autocannon_EC	Z	Z	0.046	0.000	-0.046
Vortex Warhead Impact	E	E	1.226	1.226	+0.000
BulletImpact_stormbolter_6shots	Z	Z	0.066	0.066	+0.000
StrikeEffect	Z	Z	0.115	0.182	+0.067
CreateCard Gold	Z	Z	0.140	0.168	+0.028
Environmental Condition Astra Militarum Factory Overdrive	Z	Z	0.154	0.268	+0.113
Buff_DaemonicPact_troop	Z	Z	0.003	0.007	+0.004
BulletImpact_deathspinner_arc_alt	E	E	0.634	0.656	+0.022
BulletImpact_DeathSpinner_twinlink	Z	Z	0.053	0.045	-0.008
DeckBuff_BlackLegion	Z	Z	0.016	0.210	+0.194
Invoke Minion Legendary ALT	E	E	0.407	0.439	+0.032
BulletImpact_4shot_trail_EC	Z	Z	0.208	0.164	-0.043
ShieldTraitEffect_Idle	Z	Z	0.004	0.000	-0.004
FlameBurst_Sororitas	Z	Z	0.197	0.223	+0.026
Immortal Beam	Z	Z	0.339	0.342	+0.002
BlackCrusade_Battleground repeat	Z	Z	0.000	0.000	+0.000
MarkOfSlaanesh_enchantment	Z	Z	0.309	0.228	-0.081
Tap Red Glow Eye	Z	Z	0.094	0.094	+0.000
UnstableEffect_WaaaghEnergy	E	Z	0.481	0.326	-0.155
BulletImpact_2shot_trail_chaos	E	E	0.418	0.503	+0.085
BulletImpact_stormbolter_4shots	Z	Z	0.016	0.032	+0.016
EcstasyEffect	E	Z	0.677	0.013	-0.663
BulletImpact_3shot_pointblank	Z	Z	0.008	0.140	+0.132
Lightning burst webway	E	E	0.939	1.436	+0.497
Waaagh_Lightning	Z	Z	0.134	0.114	-0.020
BansheeHowl_blood glow	E	E	1.910	4.277	+2.367
BulletImpact_MissileToTarget_Orks	Z	Z	0.051	0.238	+0.187
BulletImpact_Grenade_ThumpGun	Z	Z	0.181	0.079	-0.102
Explosion Hive Fleet Arrival Tendrils OLD	E	E	0.458	0.521	+0.064
FlamethrowerSweepAttack_1	Z	Z	0.042	0.053	+0.011
Tap Toxic Sludge green	Z	E	0.077	0.470	+0.393
Cuts Brutal_Warp Spider	Z	Z	0.114	0.126	+0.013
Buff EC Pink Twirl Intense	E	E	0.836	0.829	-0.007
BulletImpact_DesolationMissile	Z	Z	0.102	0.102	+0.000
Pray_Start	Z	Z	0.062	0.072	+0.011
Tap Webway Portal	Z	Z	0.326	0.222	-0.105
VulnerableEffect	Z	Z	0.005	0.010	+0.005
Environmental Condition Dark Angels Void Combat	Z	Z	0.108	0.128	+0.020
BulletImpact_DCannon	Z	Z	0.050	0.066	+0.016
Basic_army_DA_NoIcon	Z	Z	0.014	0.003	-0.010
Invoke Minion Hits Ground	E	E	2.237	1.897	-0.340
Environmental Condition Emperor's Children 2 Fumes	Z	Z	0.056	0.009	-0.047
BulletImpactBurst_crowd	Z	Z	0.009	0.009	+0.000
Explosion Fenrisian Monstrosities Extra Damage	E	E	0.443	0.493	+0.050
Sword_Slash_EC_User 3x	E	Z	1.014	0.000	-1.014
UM_MightOfHeroesEffect	Z	Z	0.236	0.315	+0.079
Infinity Circuit	Z	Z	0.011	0.011	+0.000
Buff_Blue_Tau_quick	E	E	0.548	0.546	-0.002
Atk_Rokkit-Harpoon big	Z	Z	0.021	0.081	+0.060
HeroOfTheEmpire OLD	E	E	0.629	0.618	-0.011
ConcussiveEffect	Z	Z	0.036	0.130	+0.094
Sentry_Effect	Z	Z	0.128	0.041	-0.087
Infernal_Gaze	Z	Z	0.005	0.009	+0.004
HuntMark_StackEffect	Z	Z	0.113	0.126	+0.013
FerocityEffect	Z	Z	0.246	0.069	-0.177
EC_Sonic Shock	Z	E	0.241	0.345	+0.104
BloodThirstEffect_Idle	E	E	0.486	0.821	+0.335
Environmental Condition Black Legion Helfire Outburst	E	E	0.858	0.907	+0.049
BolterSweep	Z	Z	0.353	0.334	-0.019
MarkerlightProcEffect	Z	Z	0.023	0.019	-0.004
Explosion Hive Fleet Arrival Explosions only	Z	Z	0.006	0.001	-0.006
Buff_DA_Forest_Self	Z	Z	0.210	0.161	-0.049
HuntMark_EndEffect	Z	Z	0.196	0.159	-0.038
BulletImpact_2shot_trail_EC	E	Z	0.528	0.328	-0.200
Basic_army_UM_Pre-Effect	E	E	0.392	0.405	+0.013
BeastSnagga_Summon	E	E	0.914	0.821	-0.093
Buff_GSC	Z	Z	0.049	0.115	+0.066
MarkerlightExpire	Z	Z	0.279	0.275	-0.003
GSC Summon	Z	Z	0.105	0.017	-0.089
Sau_LordOfTheStorm	E	Z	0.338	0.325	-0.013
Scarab Explosion	Z	Z	0.015	0.017	+0.002
Buff_EnemyHand_GSC	Z	Z	0.013	0.059	+0.046
BulletImpact_Sonic Weapon 2 variant	Z	E	0.306	0.549	+0.243
Deathspinner Cut Effect	Z	Z	0.000	0.000	+0.000
Healing_Projectile	Z	Z	0.178	0.173	-0.005
Sororitas_Divine Intervention_ Battleground	Z	Z	0.039	0.022	-0.018
BulletImpact_2shot_trail_nurgle	Z	Z	0.246	0.293	+0.047
BulletImpact_Ork Snakebite Squig Hook	Z	Z	0.130	0.122	-0.008
CreateCard DA	Z	Z	0.067	0.285	+0.218
Plasmancer_Damage	Z	Z	0.136	0.129	-0.007
Wild Rider Chieftain	Z	Z	0.003	0.014	+0.011
KhaineBuff	E	E	0.700	0.700	-0.001
Generic Tap Material	Z	Z	0.020	0.123	+0.104
Stealth_Proc_Eldar	E	E	2.303	2.628	+0.325
BulletImpact_4shot	Z	Z	0.119	0.001	-0.117
MarkerlightIdle	Z	Z	0.207	0.207	+0.000
Buff_SW_Lightning	Z	Z	0.198	0.229	+0.031
Buff_DaemonicPact	Z	Z	0.298	0.291	-0.006
BulletImpact_ChaosMissile	Z	Z	0.033	0.000	-0.033
Buff_Sororitas_quick_fire	E	E	0.569	0.607	+0.039
BloodThirstEffect_Gain	E	E	0.494	0.669	+0.175
BulletImpact_MagicMissile_EC_Fire	Z	Z	0.091	0.040	-0.052
WhileInPlay_Nurgle	E	E	1.362	1.279	-0.084
BulletImpact_DeathSpinner	Z	Z	0.004	0.032	+0.028
Buff_Tyranid	Z	Z	0.086	0.071	-0.015
Sword_Slash_EC_User 7x	Z	Z	0.035	0.046	+0.010
Recall_Eldar	E	E	0.839	0.867	+0.028
Pray_Success	Z	Z	0.059	0.078	+0.019
Card_Buff_Hand_Ork	Z	Z	0.088	0.072	-0.016
Buff_SW_Rune_Blizzard	Z	Z	0.007	0.039	+0.033
Air to Ground Big	Z	Z	0.163	0.163	+0.000
BulletImpact_Sonic Weapon 2 Pistol	Z	Z	0.292	0.096	-0.196
Buff_Tau_Intense	E	E	0.561	0.560	-0.001
Scream_SW_Ragnar	Z	E	0.340	0.408	+0.069
BlackCrusade_Battleground	Z	Z	0.050	0.062	+0.012
Lightning_Green	E	E	1.253	1.244	-0.009
BacklashEffect	E	E	0.388	0.417	+0.029
BulletImpact_BulletHole	Z	Z	0.006	0.006	+0.000
Swarm Card Merge VFX	Z	Z	0.241	0.201	-0.040
Basic_army_Guard Board	Z	Z	0.108	0.097	-0.011
Buff_DiabolicStrength	E	E	0.941	0.929	-0.012
EnvironmentalCondition Tau Electro-Static Interference	E	Z	1.629	0.011	-1.619
GSC RecallToHand	Z	Z	0.008	0.007	-0.001
MarkerlightSource	E	E	0.507	0.507	+0.000
Birth of a Saga	Z	Z	0.055	0.087	+0.031
Basic_army_GSC_Jackal	Z	Z	0.261	0.265	+0.004
BulletImpact_Abaddon_AA_StormBolter	Z	E	0.325	0.593	+0.268
RallyEffect	E	E	1.200	0.430	-0.770
Kroot_Summon_quick	Z	Z	0.000	0.035	+0.035
Warp Storm Target	Z	Z	0.099	0.053	-0.046
Waystone UI Gain	Z	Z	0.015	0.008	-0.007
ScytheAssault	E	E	1.206	1.192	-0.014
Acid Rain Damage Target	Z	Z	0.155	0.228	+0.073
Basic_army_UM_quick	Z	Z	0.310	0.313	+0.003
Screen_Top_Green	Z	Z	0.000	0.000	+0.000
BulletImpact_Tyranid_Big	Z	Z	0.226	0.268	+0.042
Cut Wulfen SW Double	Z	Z	0.010	0.010	+0.000
Tap Hit Metal Red	E	Z	0.519	0.186	-0.333
Environmental Condition GSC Mining Tremors	Z	Z	0.271	0.264	-0.007
MobEffect	C	E		0.389	新可判定
Explosion_Debris_UI	E	E	0.638	0.485	-0.153
Recall_Eldar_2_quick_ground_warlord	E	E	1.532	1.569	+0.037
Buff_Blue	E	E	0.569	0.567	-0.002
Sword_Slash_EC_User	E	Z	0.995	0.016	-0.980
Scrapcode_aimed_target	Z	Z	0.008	0.008	+0.000
Environmental Condition GSC Toxic Fumes	Z	Z	0.095	0.041	-0.054
BulletImpact_Pyrovore OLD	Z	Z	0.031	0.047	+0.016
LongRange_GainTrait	Z	Z	0.155	0.153	-0.002
Ork_Target	Z	Z	0.159	0.171	+0.012
FlyingEffect	Z	Z	0.024	0.028	+0.004
DeckBuff_Green	E	E	0.906	0.894	-0.013
Psychic_Lightning_Purple	Z	E	0.171	0.468	+0.297
Sau_MasterChronomancer	E	E	0.354	0.428	+0.074
Recall_Eldar_2_quick_UI	E	E	1.601	1.573	-0.028
Buff_Eldar_Warp Spider_intense	Z	Z	0.052	0.118	+0.066
Slash Repeating 2x	E	E	1.685	1.780	+0.095
Goff_UnbridledCarnageEffect	Z	Z	0.184	0.105	-0.079
InvulnerableEffectDark	Z	Z	0.141	0.143	+0.002
Card_Buff_Hand	Z	Z	0.215	0.210	-0.005
Environmental Condition Necrons Earthquake	E	E	0.770	0.643	-0.127
EnvironmentalCondition Leviathan Sweeping Infestation	Z	Z	0.007	0.007	-0.000
Environmental Condition Astra Militarum Planetary Invasion	E	E	0.688	0.723	+0.035
Artillery Manticore down 4x spread	Z	E	0.307	0.372	+0.065
Buff_DarkOratory	E	E	0.590	0.585	-0.005
BulletImpact_Tyranid_Small	Z	Z	0.019	0.086	+0.067
Buff_Mana	E	E	2.204	2.204	+0.000
OrkBuff_Snakebitez_1_NoIcon	E	Z	1.772	0.084	-1.688
Smoke_Board	Z	Z	0.130	0.021	-0.109
BulletImpact_Sonic Weapon 1 Dual Pistol	Z	E	0.310	0.624	+0.314
Sau_CurseOfThePhaeron	Z	Z	0.023	0.008	-0.015
Buff_Tau_Fire	E	E	0.377	0.377	+0.000
PathOfTheWarrior_Projectile	Z	Z	0.003	0.009	+0.006
Relentless Fusillade	E	E	1.034	1.632	+0.599
Buff_Flies	E	Z	0.403	0.261	-0.143
Slash Repeating 5x	E	E	1.056	0.978	-0.079
Chaos_Destroy_Brutal	E	Z	0.627	0.222	-0.405
InvulnerableEffectGuard	Z	Z	0.308	0.308	+0.000
StompEffect	Z	Z	0.230	0.118	-0.112
Explosion_Debris	E	E	0.581	0.566	-0.015
BulletImpact_Webber	E	E	0.509	0.687	+0.178
SW_Axe_Buff	Z	Z	0.111	0.112	+0.001
BulletImpact_2shot_trail_twinlink	Z	Z	0.050	0.066	+0.016
Relentless Fusillade sniper	E	C	1.225		变成判定不了
Impact_Ground_Stomp_Big	Z	Z	0.032	0.021	-0.011
BulletImpact_Tyranid_Cannon	E	E	0.602	0.766	+0.163
Basic_army_UM_Guilliman	Z	Z	0.330	0.334	+0.004
CompanionEffect	Z	Z	0.089	0.092	+0.003
Environmental Condition Dark Angels Asteroid Zone	Z	Z	0.137	0.253	+0.116
Card_Buff_Tyranid	Z	Z	0.001	0.001	+0.000
CodexIdleEffect	E	E	0.479	0.492	+0.013
Scream_purple_nid	E	Z	0.359	0.345	-0.014
DeckBuff_Tau	Z	Z	0.202	0.326	+0.124
ArmourEffect	Z	Z	0.025	0.015	-0.010
Healing_Circles	E	E	1.936	2.139	+0.203
Tap Blue Glow Blink	Z	Z	0.233	0.237	+0.004
StealthEffect	Z	Z	0.039	0.028	-0.011
Buff_Tau_Kroot_intense	Z	Z	0.293	0.258	-0.035
BulletImpact_Tyranid_Barblauncher	Z	Z	0.095	0.192	+0.097
CreateCard Sabotage	E	E	0.835	0.800	-0.035
Screen_Red	Z	Z	0.151	0.125	-0.026
BloodThirstEffect_continuous	Z	Z	0.140	0.103	-0.038
BulletImpact_9shot_trail	Z	Z	0.189	0.191	+0.002
DaIrongobEffect	E	E	1.168	1.253	+0.085
ToxicMiasma_Warlord	E	E	0.491	0.541	+0.050
Psychic_Lightning_down_Intense_white	E	E	1.593	1.386	-0.207
Space Wolves Summon Wolves	Z	Z	0.185	0.025	-0.160
Environmental Condition GSC Sump Overspill OLD	Z	Z	0.069	0.074	+0.005
Stealth_Proc	Z	Z	0.040	0.093	+0.053
CreateCard Orks	Z	Z	0.035	0.025	-0.010
Artillery Ground	E	E	1.008	1.008	+0.000
Buff_MarkOfNurgle	Z	Z	0.038	0.080	+0.041
InvulnerableEffectGSC	E	E	0.663	0.636	-0.027
BulletImpact_Pyrovore	Z	Z	0.031	0.003	-0.028
FrenziedEffect	E	E	1.263	1.269	+0.005
Buff_Eldar_Warp Spider	E	E	1.157	1.252	+0.095
Goff_Waaagh	E	E	0.511	0.583	+0.071
Sororitas Summon Basic	Z	Z	0.284	0.275	-0.008
OrkBuffGreenWaaagh	Z	Z	0.002	0.300	+0.297
Environmental Condition Space Wolves First Light	Z	Z	0.076	0.083	+0.007
BulletImpact_Kroot_KrootScattergun	Z	Z	0.085	0.150	+0.066
Cut EC sword 7x warlord	Z	Z	0.155	0.074	-0.081
BulletImpact_5shot	Z	Z	0.177	0.027	-0.150
EnvironmentalCondition Saim Hann Infinity Circuit Overload	Z	Z	0.156	0.215	+0.058
PathOfTheSeerRed	Z	Z	0.055	0.059	+0.004
BulletImpact_artillery_manticore	E	E	0.693	0.693	+0.000
BulletImpact_Bolter_Large Area	Z	Z	0.269	0.336	+0.067
Talent_Warmaster	Z	Z	0.015	0.005	-0.010
DeckBuff1	Z	Z	0.055	0.056	+0.000
DeckBuff_SW	Z	Z	0.040	0.040	+0.000
Waystone UI Spend	Z	Z	0.017	0.020	+0.002
Recon Scan Purple	E	E	0.455	0.434	-0.021
Goff_WaaaghRed_skulls	E	E	0.536	0.501	-0.034
Technomancer_Buff	Z	Z	0.004	0.004	+0.000
Buff_SW_Rune_Tornado	Z	Z	0.039	0.031	-0.008
EarthCrack_Single	E	E	0.824	0.758	-0.066
BulletImpact_Tyranid_Small_Dual	Z	Z	0.292	0.219	-0.074
Buff EC On Warlord When Creating Card	E	E	0.779	0.805	+0.026
EnvironmentalCondition Sororitas Raging Storm	Z	Z	0.116	0.150	+0.034
EnvironmentalCondition Ultramarines Aerial Clash	Z	Z	0.024	0.123	+0.099
ShurikenEffect	Z	Z	0.264	0.004	-0.260
Sau_DamageProtocol_OLD	E	E	0.797	0.797	+0.000
BulletImpact_gatling_1s	Z	Z	0.215	0.132	-0.083
Sword_Slash_EC_User Inverted	E	Z	0.924	0.030	-0.894
Explosion_Short	Z	Z	0.045	0.043	-0.002
CamouflageEffect New	E	Z	0.445	0.044	-0.401
Spore Mine Explosion	Z	Z	0.146	0.097	-0.049
EC_Target_user Lucius	Z	Z	0.314	0.008	-0.306
BulletImpact_Combi_Flamer_Infernus	Z	Z	0.210	0.104	-0.106
Atk_GrotGrenade_big	Z	Z	0.001	0.001	+0.001
Environmental Condition Necrons Immortal Beams	Z	Z	0.166	0.145	-0.021
Cosmic Serpent_Secondary	E	E	0.695	0.687	-0.008
FlankEffect	E	E	0.452	0.393	-0.059
Delightful Agonies Launch Projectile	Z	Z	0.035	0.023	-0.013
Telepathic_Control_User	Z	E	0.232	0.487	+0.255
Psychic_Lightning_blast	E	E	0.557	0.650	+0.093
BulletImpact_Tau_Plasma Cannon	Z	Z	0.195	0.195	+0.000
Atk_GrotRock	Z	Z	0.004	0.003	-0.001
Protocol Base	E	E	1.254	1.254	+0.000
Recall_Eldar_2_quick	E	E	1.364	1.353	-0.012
TalentEffect	Z	E	0.196	0.550	+0.354
Explosion Hive Fleet Arrival Tendrils	Z	Z	0.156	0.208	+0.053
Goff_ProphetOfDaWaaagh	E	E	0.846	0.824	-0.022
Sau_DamageProtocol_Quick	E	E	0.910	0.845	-0.065
Artillery Manticore down 2x spread	Z	Z	0.090	0.206	+0.116
BansheeHowl_blood	E	E	2.208	1.805	-0.402
Uprising Trait	Z	Z	0.031	0.030	-0.000
Attack_Stomp	Z	Z	0.072	0.208	+0.135
Buff_Sautekh_Intense	E	E	0.648	0.646	-0.002
Sword_10x_EC	Z	Z	0.027	0.066	+0.039
Buff_Mana_Blood	E	E	1.486	1.485	-0.001
ArmourEffect_Bladeguard_Shield	Z	Z	0.000	0.000	+0.000
EnvironmentalCondition Tau Solar Eclipse	C	Z		0.009	新可判定
InvulnerableEffect	Z	Z	0.107	0.145	+0.038
BulletImpact_2shot	Z	Z	0.001	0.037	+0.036
Buff EC Stimulate	E	E	0.848	0.750	-0.098
Recon Enemy Hand	Z	Z	0.080	0.058	-0.022
Sororitas Summon Resurrect	Z	Z	0.237	0.223	-0.014
Psychic_Lightning_warlord_chaos	E	E	0.674	0.921	+0.247
WorstTemperEffect	Z	Z	0.196	0.137	-0.060
BulletImpact_Morgrim	Z	Z	0.223	0.317	+0.094
BulletImpact_DeathSpinner_spider	Z	Z	0.114	0.063	-0.052
BulletImpact_Flamethrower_HandFlamer	Z	Z	0.132	0.134	+0.002
Recall_Eldar_2_quick_ground	E	E	1.464	1.478	+0.014
Ferocity_RecallToDeck	Z	Z	0.001	0.003	+0.002
PathOfTheSeer_BG-effect	Z	Z	0.051	0.054	+0.003
Basic_army_Guard Digital	Z	Z	0.058	0.103	+0.045
Cryptek_Stun	Z	Z	0.007	0.007	+0.000
Tank_Shot_Small	E	E	0.673	0.687	+0.014
Goff_Rok_Invasion	E	E	0.600	0.574	-0.026
