file	card_id	name	faction	ev	textA	textB	gt_from_filename	werA	werB	cerA	cerB	agree	non_speech	needs_review
VO_BlackLegion_Hexscorn_Gen4.ogg	BL5	Sylar Hexcorn	BlackLegion	gen4	There is always a method to insanity.	There is always a method to insanity.						exact		
VO_BlackLegion_Hexscorn_Gen5.ogg	BL5	Sylar Hexcorn	BlackLegion	gen5	You were just a plaything of the gods.	You were just a plaything of the gods.						exact		
VO_BlackLegion_Hexscorn_Gen6.ogg	BL5	Sylar Hexcorn	BlackLegion	gen6	I will follow Abaddon to the end of everything.	I will follow Abaddon to the end of everything!						case-punct-only		
VO_BlackLegion_Hexscorn_Gen7.ogg	BL5	Sylar Hexcorn	BlackLegion	gen7	Embrace chaos before it's too late.	Embrace chaos before it's too late.						exact		
VO_BlackLegion_Hexscorn_Greet.ogg	BL5	Sylar Hexcorn	BlackLegion	greet	Come with me, I will open your eyes to the warp.	Come with me. I will open your eyes to the warp.						case-punct-only		
VO_BlackLegion_Hexscorn_Hurry.ogg	BL5	Sylar Hexcorn	BlackLegion	hurry	Nothing lasts forever.	Nothing lasts forever.						exact		
VO_BlackLegion_Hexscorn_Intro.ogg	BL5	Sylar Hexcorn	BlackLegion	intro	The warp flows through me, and it will be your doom.	The warp flows through me, and it will be your doom.						exact		
VO_BlackLegion_Hexscorn_Mirror.ogg	BL5	Sylar Hexcorn	BlackLegion	mirror	I am the Enlightened One.	I am the Enlightened One.						exact		
VO_BlackLegion_Hexscorn_Threat.ogg	BL5	Sylar Hexcorn	BlackLegion	threat	I will destroy you with the power of the warp.	I will destroy you with the power of the warp.						exact		
VO_BlackLegion_Hexscorn_vs_Abaddon.ogg	BL5	Sylar Hexcorn	BlackLegion	line	I am ever your servant, Lord.	I am ever your servant, Lord.						exact		
VO_BlackLegion_Hexscorn_vs_Keltoc.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Shouldn't your kind all be dead by now?	Shouldn't your kind all be dead by now?						exact		
VO_BlackLegion_Hexscorn_vs_UrsulaCreed.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Do you like what we did to your world?	Do you like what we did to your world?						exact		
VO_BlackLegion_Hexscorn_vs_Varro.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Why hold back? Unleash your true potential.	Why hold back? Unleash your true potential.						exact		
VO_BlackLegion_Hexscorn_vs_tbc2.ogg	BL5	Sylar Hexcorn	BlackLegion	line	You cannot stop the BlackLegion.	You cannot stop the Black Legion!						content-word		1
VO_BlackLegion_Hexscorn_vs_tbc3.ogg	BL5	Sylar Hexcorn	BlackLegion	line	I take that personally.	I take that personally.						exact		
VO_BlackLegion_Hexscorn_vs_tbc4.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Run away and hide!	Run away and hide.						case-punct-only		
VO_BlackLegion_Hexscorn_wp.ogg	BL5	Sylar Hexcorn	BlackLegion	wp	An impressive feat given your obvious weakness.	An impressive feat, given your obvious weakness.						case-punct-only		
VO_CSM_EC_Alluress (Emily).ogg	EC8	Alluress	EmperorsChildren	line	Come closer!	I'm gross!						content-word		1
VO_CSM_EC_Blastmaster Noise Marine (Kevin).ogg	EC19	Blastmaster Noise Marine	EmperorsChildren	line	It's a perfect melody!	I will create the perfect melody!						content-word		1
VO_CSM_EC_Blissbringer_High-pitch_Screech.ogg	EC26	Blissbringer	EmperorsChildren	line	R.I.P.	*Screams*						content-word		1
VO_CSM_EC_Chaos Land Raider (Andrew Dennis).ogg	EC41	Chaos Land Raider	EmperorsChildren	line	Drown that in the sounds of their screams.	Drown them in the sounds of their screams!						content-word		1
VO_CSM_EC_Chaos Rhino (Andrew Dennis).ogg	EC31	Chaos Rhino	EmperorsChildren	line	More will join in the Prince's revelries.	More will join in the prince's revelries.						case-punct-only		
VO_CSM_EC_Daemon Prince Xarahan_attack.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	attack	Blah!	*Bah*						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_cantDo.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	cantdo	No.	No!						case-punct-only		
VO_CSM_EC_Daemon Prince Xarahan_concede.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	concede	We'll save the sweet pain for centuries.	I will savor the sweet pain for centuries.						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_death.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	death	Growl!	*Burr*						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_gen1.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen1	Oh, this curry.	All this grief, I must have more!						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_gen2.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen2	I shall relish the sight of your pathetic remains.	I shall relish the sight of your pathetic remains.						exact		
VO_CSM_EC_Daemon Prince Xarahan_gen3.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen3	Oh, the screams I will wrench out of your throat!	Oh, the screams I will wrench out of your throat!						exact		
VO_CSM_EC_Daemon Prince Xarahan_gen4.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen4	A magnificent task is in our hands.	A magnificent task is in our hands.						exact		
VO_CSM_EC_Daemon Prince Xarahan_gen5.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen5	Are you feeling ever well?	Are you feeling overwhelmed?						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_greet.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	greet	Ah, yet another vapid foe is foisted upon me.	Ah, yet another vapid foe is foisted upon me.						exact		
VO_CSM_EC_Daemon Prince Xarahan_hurry.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	hurry	Hesitation dulls the blade of pleasure.	Hesitation dulls the blade of pleasure.						exact		
VO_CSM_EC_Daemon Prince Xarahan_intro.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	intro	Thanks to my Opus of Torment.	Bear witness to my ocusp of torment.						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_mirror.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	mirror	It will be breathtaking.	It will be breathtaking.						exact		
VO_CSM_EC_Daemon Prince Xarahan_threat.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	threat	I feel you shiver. Anticipation.	I feel you shiver. Is it fear or anticipation?						content-word		1
VO_CSM_EC_Daemon Prince Xarahan_wp.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	wp	Yet, deliver an amusing time.	You might yet deliver an amusing time.						content-word		1
VO_CSM_EC_Daemonette (Emily).ogg	EC7	Daemonette	EmperorsChildren	line	You are mine!	You are mine!						exact		
VO_CSM_EC_Disharmonist (Andrew Dennis).ogg	EC27	Disharmonist	EmperorsChildren	line	A dirge for your final breath.	A dirge for your final breath.						exact		
VO_CSM_EC_Dual Screamer Kakophonist (Joey).ogg	EC32	Dual Screamer Kakophonist	EmperorsChildren	line	Out of Apocalypse!	I am the clamor of apocalypse.						content-word		1
VO_CSM_EC_Fiend_High-pitch_Screech.ogg	EC20	Fiend	EmperorsChildren	line	Rrrrrrrrrrrrrrrr!	- -						content-word		1
VO_CSM_EC_Flawless Blade (Joey).ogg	EC13	Flawless Blade	EmperorsChildren	line	Such delightful agony.	Such delightful agony.						exact		
VO_CSM_EC_Flawless Blade Champion (Kevin).ogg	EC28	Flawless Blade Champion	EmperorsChildren	line	Let the flesh of our enemies sing!	Let the flesh of our enemies sing!						exact		
VO_CSM_EC_Glittering Myriad Infractor (Joey).ogg	EC9	Glittering Myriad Infractor	EmperorsChildren	line	Let us compose a lavish requiem!	Let us compose a lavish requiem!						exact		
VO_CSM_EC_Glittering Myriad Terminator (Joey).ogg	EC22	Terminator	EmperorsChildren	line	Come on! Amuse me!	Come on, amuse me!						case-punct-only		
VO_CSM_EC_Heldrake_Roaring_Bellow.ogg	EC38	Heldrake	EmperorsChildren	line	SCREAM!	*Mario plays*						content-word		1
VO_CSM_EC_Icon of Excess Infractor (Andrew Dennis).ogg	EC14	Icon of Excess Infractor	EmperorsChildren	line	Give yourself over to pleasure, absolute!	Give yourself over to Pleasure Absolute!						case-punct-only		
VO_CSM_EC_Infractor (Andrew Dennis).ogg	EC10	Infractor	EmperorsChildren	line	I cannot wait to hear you please.	I cannot wait to hear your pleas.						content-word		1
VO_CSM_EC_Infractor Obsessionist (Andrew).ogg	EC21	Infractor Obsessionist	EmperorsChildren	line	Every cut of us, every wound, a chorus.	Every cat a verse. Every wound a chorus.						content-word		1
VO_CSM_EC_Konstrictus Sorcerer (Joey).ogg	EC30	Slaanesh Sorcerer	EmperorsChildren	line	Dark Prince will have you.	The Dark Prince will have you.						content-word		1
VO_CSM_EC_Lord Exultant (Kevin).ogg	EC35	Lord Exultant	EmperorsChildren	line	Restrike is a gift from the Prince of Pleasure.	Every strike is a gift from the Prince of Pleasure.						content-word		1
VO_CSM_EC_Lord Kakophonist (Joey).ogg	EC37	Lord Kakophonist	EmperorsChildren	line	Aim for me!	SCREAM FOR ME!						content-word		1
VO_CSM_EC_Lord Kaphrael_attack.ogg	EC1	Lord Kaphrael	EmperorsChildren	attack		No!						b-only		1
VO_CSM_EC_Lord Kaphrael_cantDo.ogg	EC1	Lord Kaphrael	EmperorsChildren	cantdo	This does not please me.	This does not please me.						exact		
VO_CSM_EC_Lord Kaphrael_concede.ogg	EC1	Lord Kaphrael	EmperorsChildren	concede	The deepest pleasure is found in the most grievous wounds.	The deepest pleasure is found in the most grievous wounds.						exact		
VO_CSM_EC_Lord Kaphrael_death.ogg	EC1	Lord Kaphrael	EmperorsChildren	death	Oof!	*crash*						content-word		1
VO_CSM_EC_Lord Kaphrael_gen1.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen1	I hope your blade is sharper than your sense.	I hope your blade is sharper than your sense.						exact		
VO_CSM_EC_Lord Kaphrael_gen2.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen2	That was exquisite.	That was exquisite.						exact		
VO_CSM_EC_Lord Kaphrael_gen3.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen3	Do not blink or you will miss true beauty.	Do not blink or you will miss true beauty.						exact		
VO_CSM_EC_Lord Kaphrael_gen4.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen4	Your screams are delightful, I may let you live a bit more.	Your screams are delightful. I may let you live a bit more.						case-punct-only		
VO_CSM_EC_Lord Kaphrael_gen5.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen5	More come seeking their sweet final release.	Moocom seeking their sweet final release.						content-word		1
VO_CSM_EC_Lord Kaphrael_gen6.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen6	This dance is growing interesting.	This dance is growing interesting.						exact		
VO_CSM_EC_Lord Kaphrael_gen7.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen7	Do not dare die yet. I crave for more.	Do not dare die yet. I crave for more.						exact		
VO_CSM_EC_Lord Kaphrael_greet.ogg	EC1	Lord Kaphrael	EmperorsChildren	greet	You only get one chance to impress me.	You only get one chance to impress me.						exact		
VO_CSM_EC_Lord Kaphrael_hurry.ogg	EC1	Lord Kaphrael	EmperorsChildren	hurry	Faster!	Come on, faster!						content-word		1
VO_CSM_EC_Lord Kaphrael_intro.ogg	EC1	Lord Kaphrael	EmperorsChildren	intro	The path to glory is paved with such blissful pain.	The path to glory is paved with such blissful pain.						exact		
VO_CSM_EC_Lord Kaphrael_mirror.ogg	EC1	Lord Kaphrael	EmperorsChildren	mirror	Each scar and scream brings me closer to perfection.	Each scar and scream brings me closer to perfection.						exact		
VO_CSM_EC_Lord Kaphrael_threat.ogg	EC1	Lord Kaphrael	EmperorsChildren	threat	Pain can become pleasure. You will know both.	Pain can become pleasure. You will know both.						exact		
VO_CSM_EC_Lord Kaphrael_wp.ogg	EC1	Lord Kaphrael	EmperorsChildren	wp	Finally, a worthy opponent rises from mediocrity.	Finally, a worthy opponent rises from mediocrity.						exact		
VO_CSM_EC_Lucius_Backup1.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup1	So much despair to relish in.	So much despair to relish in.						exact		
VO_CSM_EC_Lucius_Backup2.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup2	May the splendor of the Pleasured Ones bounty still thy heart with ecstasies.	May the splendor of the pleasured one's bounty still thy heart with ecstasies.						content-word		1
VO_CSM_EC_Lucius_Backup3.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup3	What do you have for me on the cusp of this battle?	What do you have for me on the cusp of this most glorious battle?						content-word		1
VO_CSM_EC_Lucius_attack.ogg	EC3	Lucius The Eternal	EmperorsChildren	attack	BWAH!	*Bah*						content-word		1
VO_CSM_EC_Lucius_cantDo.ogg	EC3	Lucius The Eternal	EmperorsChildren	cantdo	Do not think so.	I do not think so.						content-word		1
VO_CSM_EC_Lucius_concede.ogg	EC3	Lucius The Eternal	EmperorsChildren	concede	All how proud you must feel.	Oh, how proud you must feel.						content-word		1
VO_CSM_EC_Lucius_death.ogg	EC3	Lucius The Eternal	EmperorsChildren	death	Urgh!	AHH!						content-word		1
VO_CSM_EC_Lucius_gen1.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen1	Agony Ecstasy Maw.	Agony. Ecstasy. More.						content-word		1
VO_CSM_EC_Lucius_gen2.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen2	I could slay you without even sullying my father's blade.	I could slay you without even sullying my father's blade.						exact		
VO_CSM_EC_Lucius_gen3.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen3	Sing such sweet sorrow.	Every cat sings such sweet sorrow.						content-word		1
VO_CSM_EC_Lucius_gen4.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen4	You are just begging for deliverance.	Oh, you are just begging for deliverance.						content-word		1
VO_CSM_EC_Lucius_gen5.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen5	There was a time you would have impressed me.	There was a time you would have impressed me.						exact		
VO_CSM_EC_Lucius_gen6.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen6	Flawless.	Flawless.						exact		
VO_CSM_EC_Lucius_gen7.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen7	Now Disapply Him.	This spilling of blood is sublime.						content-word		1
VO_CSM_EC_Lucius_greet.ogg	EC3	Lucius The Eternal	EmperorsChildren	greet	Do not bore me.	Do not bore me.						exact		
VO_CSM_EC_Lucius_hurry.ogg	EC3	Lucius The Eternal	EmperorsChildren	hurry	Why delay this pleasure?	Why delay this pleasure?						exact		
VO_CSM_EC_Lucius_intro.ogg	EC3	Lucius The Eternal	EmperorsChildren	intro	If it is death you crave, who am I to deny it?	If it is death you crave, who am I to deny it?						exact		
VO_CSM_EC_Lucius_mirror.ogg	EC3	Lucius The Eternal	EmperorsChildren	mirror	How delightfully decadent.	How delightfully decadent.						exact		
VO_CSM_EC_Lucius_threat.ogg	EC3	Lucius The Eternal	EmperorsChildren	threat	Your screams will make a fine melody.	Your screams will make a fine melody.						exact		
VO_CSM_EC_Lucius_vsAbaddon.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsabaddon	Imperfect Legion is doomed to falter, just like your father did.	An imperfect Legion is doomed to falter, just like your father did.						content-word		1
VO_CSM_EC_Lucius_vsAstraMilitarum.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsastramilitarum	You die too quickly. There is no time to savor it.	Oh, you die too quickly. There is no time to savor it.						content-word		1
VO_CSM_EC_Lucius_vsBile.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsbile	I did not cut my way out from the eye, only to listen to your follyfabious.	I did not cut my way out from the eye, only to listen to your folly, Fabius.						content-word		1
VO_CSM_EC_Lucius_vsCSM.ogg	EC3	Lucius The Eternal	EmperorsChildren	vscsm	Brothers, welcome to the feast. Which among you will be the first course?	Brothers, welcome to the feast. Which among you will be the first course?						exact		
VO_CSM_EC_Lucius_vsDA.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsda	I have not killed any little robed angels in some time.  Let us fix that.	I have not killed any little robed angels in some time. Let us fix that.						case-punct-only		
VO_CSM_EC_Lucius_vsEC.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsec	So, Ambition has chosen its day at last.	So, ambition has chosen its day at last.						case-punct-only		
VO_CSM_EC_Lucius_vsFulgrim.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsfulgrim	I always wondered if the Phoenician could fall by his own blade.	I always wondered if the Phoenician could fall by his own blade.						exact		
VO_CSM_EC_Lucius_vsUM.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsum	My lower deck grows hollow.	My lower deck grows hollow. Some of you are bound to be fine entertainment.						content-word		1
VO_CSM_EC_Lucius_vsWE.ogg	EC3	Lucius The Eternal	EmperorsChildren	vswe	Pack a band and you little mongrel.	Did your pack abandon you, little mongrel?						content-word		1
VO_CSM_EC_Lucius_wp.ogg	EC3	Lucius The Eternal	EmperorsChildren	wp	It has been some time since I have broken a sweat.	It has been some time since I have broken a sweat.						exact		
VO_CSM_EC_Maulerfiend_Roaring_Bellow.ogg	EC39	Maulerfiend	EmperorsChildren	line		*throwing*						b-only		1
VO_CSM_EC_Plasma Gun Tormentor (Andrew).ogg	EC15	Plasma Gun Tormentor	EmperorsChildren	line	Your last moment will be my masterpiece.	Your last moment will be my masterpiece.						exact		
VO_CSM_EC_Rugged Disharmonist (Andrew Dennis).ogg	EC36	Rugged Disharmonist	EmperorsChildren	line	More!	More!						exact		
VO_CSM_EC_Slaanesh Sorcerer (Andrew Dennis).ogg	EC30	Slaanesh Sorcerer	EmperorsChildren	line	The youngest God must be appeased.	The youngest god must be appeased.						case-punct-only		
VO_CSM_EC_Slaanesh's Spawn_Revelling_Screech.ogg	EC16	Slaanesh's Spawn	EmperorsChildren	line	NOOOOO	*Gunshot*						content-word		1
VO_CSM_EC_Sonic Blaster Noise Marine (Andrew Dennis).ogg	EC17	Sonic Blaster Noise Marine	EmperorsChildren	line	Take under the Prince's sweetest cacophonies.	Break under the prince's sweetest cacophonies!						content-word		1
VO_CSM_EC_Terminator (Andrew).ogg	EC22	Terminator	EmperorsChildren	line	Hear the offering to the Dark Prince.	You will make a worthy offering to the Dark Prince.						content-word		1
VO_CSM_EC_Terminator Champion (Andrew).ogg	EC33	Terminator Champion	EmperorsChildren	line	Such delightful agony.	Such delightful agony.						exact		
VO_CSM_EC_Threnodic Choir Flawless Blade (Andrew Dennis).ogg	EC13	Flawless Blade	EmperorsChildren	line	The outside will pluck from your broken form.	Oh, the notes I will pluck from your broken form.						content-word		1
VO_CSM_EC_Threnodic Choir Noise Marine (Joey).ogg	EC18	Threnodic Choir Noise Marine	EmperorsChildren	line	Higher! Louder!	HIGHER! LOUDER!						case-punct-only		
VO_CSM_EC_Tormentor (Kevin).ogg	EC12	Tormentor	EmperorsChildren	line	None escapes the call of excess.	None escapes the call of excess.						exact		
VO_CSM_EC_Tormentor Obsessionist (Andrew Dennis).ogg	EC23	Tormentor Obsessionist	EmperorsChildren	line	This shall quench the thirst for a moment.	This shall quench the thirst for a moment.						exact		
VO_CSM_EC_Veteran Noise Marine (Andrew).ogg	EC25	Veteran Noise Marine	EmperorsChildren	line	A melody to shake the stars.	A melody to shake the stars.						exact		
VO_CSM_EC_Winged Daemon Prince (Andrew Dennis).ogg	EC40	Winged Daemon Prince	EmperorsChildren	line	So many great things. What delicious horrors await them?	So many playthings. What delicious horrors await them.						content-word		1
VO_CW_SaimHann_Autarch - Hesitation leads only to failure We must strike! (Vivienne).ogg	ASH_Autarch	Autarch	SaimHann	line	Hesitation leads only to failure. We must strike!	Hesitation leads only to failure. We must strike.	Hesitation leads only to failure We must strike!	0.000		0.000		case-punct-only		
VO_CW_SaimHann_Avatar of Khaine - Death Wakes War Calls.ogg	ASH42	Avatar of Khaine	SaimHann	line	Death Wakes Warcars!	Death wakes, war cars.	Death Wakes War Calls	0.500		0.111		content-word		1
VO_CW_SaimHann_Bright Lance Vyper - Ride now! The knife-pledge shall be honoured! (Joey).ogg	ASH_Bright_Lance_Vyper	Bright Lance Vyper	SaimHann	line	Right now, the knife pledge shall be honoured!	Right now! The knife pledge shall be honored!	Ride now! The knife-pledge shall be honoured!	0.125		0.083		content-word		1
VO_CW_SaimHann_Crimson Hunter - We are the raging winds.ogg	ASH31	Crimson Hunter	SaimHann	line	We are the Raging Winds.	We are the Raging Winds.	We are the raging winds	0.000		0.000		exact		
VO_CW_SaimHann_Death Spinner Warp Spider - Death lies in waiting (Vivienne).ogg	ASH_Death_Spinner_Warp_Spider	Death Spinner Warp Spider	SaimHann	line	Death lies in waiting.	Death lies in waiting.	Death lies in waiting	0.000		0.000		exact		
VO_CW_SaimHann_Dire Avenger - When the light fades we must stand as one for the Craftworld.ogg	ASH19	Dire Avenger	SaimHann	line	When the light fades, we must stand as one for the craft world.	When the light fades, we must stand as one for the craft world.	When the light fades we must stand as one for the Craftworld	0.167		0.000		exact		
VO_CW_SaimHann_Dire Avenger Exarch_Let slip of mercy.ogg	ASH32	Dire Avenger Exarch	SaimHann	line	Let's slip of mercy, quell those who defiled the craft world.	Let slip of mercy quell those who defiled the craft world.						content-word		1
VO_CW_SaimHann_Falcon - Let our enemies feel the rushing wind of death.ogg	ASH33	Falcon	SaimHann	line	Let our enemies feel the rushing wind of death.	Let our enemies feel the rushing wind of death.	Let our enemies feel the rushing wind of death					exact	stage-direction	
VO_CW_SaimHann_Farseer - Every strike weaves a future worthy of our sacrifice (Vivienne).ogg	ASH_Farseer	Farseer	SaimHann	line	Every strike weaves a future worthy of our sacrifice.	Every strike weaves a future worthy of our sacrifice.	Every strike weaves a future worthy of our sacrifice	0.000		0.000		exact		
VO_CW_SaimHann_Farseer Skyrunner - The winds will howl with the Craftworld's vengeance (Vivienne).ogg	ASH_Farseer_Skyrunner	Farseer Skyrunner	SaimHann	line	The winds will howl with the craft world's vengeance.	The winds will howl with the craft world's vengeance.	The winds will howl with the Craftworld's vengeance					exact	stage-direction	
VO_CW_SaimHann_Fire Dragon - Burn in Khaines fury.ogg	ASH34	Fire Dragon	SaimHann	line	You're in Cain's fury.	Burn in Cain's fury!	Burn in Khaines fury	0.500		0.353		content-word		1
VO_CW_SaimHann_Fire Prism - We are the spear of Khaine.ogg	ASH36	Fire prism	SaimHann	line	We are the Spear of Cain!	We are the Spear of Cain!	We are the spear of Khaine	0.167		0.143		exact		
VO_CW_SaimHann_Guardian Defender - So comes the hour of bloodshed.ogg	ASH7	Guardian Defender	SaimHann	line	So comes the hour of bloodshed.	So comes the hour of bloodshed.	So comes the hour of bloodshed	0.000		0.000		exact		
VO_CW_SaimHann_Hemlock Wraithfighter - When my vengeance comes it will be swift.ogg	ASH40	Hemlock Wraithfighter	SaimHann	line	When my vengeance comes, it will be swift.	When my vengeance comes, it will be swift.	When my vengeance comes it will be swift	0.000		0.000		exact		
VO_CW_SaimHann_Hornet - We strike with lethal precision.ogg	ASH78	Hornet	SaimHann	line	We strike with lethal precision.	We strike with lethal precision.	We strike with lethal precision	0.000		0.000		exact		
VO_CW_SaimHann_Howling Banshee - Shriek.ogg	ASH20	Howling Banshee	SaimHann	line	AHHHHH!	*Screams*	Shriek					content-word	stage-direction	
VO_CW_SaimHann_Howling Banshee Exarch - The wail of Khaine will be your doom!.ogg	ASH79	Howling Banshee Exarch	SaimHann	line	The whale of Cain will be your doom!	The whale of Cain will be your doom!	The wail of Khaine will be your doom!					exact	stage-direction	
VO_CW_SaimHann_Jain Zar_attack.ogg	ASH74	Jain Zar	SaimHann	attack	F**k!	*Gunshot*						content-word		1
VO_CW_SaimHann_Jain Zar_cantDo.ogg	ASH74	Jain Zar	SaimHann	cantdo	I cannot do that!	I cannot do that!						exact		
VO_CW_SaimHann_Jain Zar_concede.ogg	ASH74	Jain Zar	SaimHann	concede	The wind zone will gather again.	The winds are unfavorable, but the storm will gather again.						content-word		1
VO_CW_SaimHann_Jain Zar_death.ogg	ASH74	Jain Zar	SaimHann	death	AHHHHH!	*Screams*						content-word		1
VO_CW_SaimHann_Jain Zar_gen1.ogg	ASH74	Jain Zar	SaimHann	gen1	LOO Well, anyway, she does not work on the Loo Puff.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .	*crickets*						content-word		1
VO_CW_SaimHann_Jain Zar_gen2.ogg	ASH74	Jain Zar	SaimHann	gen2	I have faced death many times, and still I stand to deliver it!	I have faced death many times, and still I stand to deliver it!						exact		
VO_CW_SaimHann_Jain Zar_gen3.ogg	ASH74	Jain Zar	SaimHann	gen3	I deliver no mercy other than the peace of death!	I deliver no mercy other than the peace of death.						case-punct-only		
VO_CW_SaimHann_Jain Zar_gen4.ogg	ASH74	Jain Zar	SaimHann	gen4	I will defend what is ours!	I will defend what is ours!						exact		
VO_CW_SaimHann_Jain Zar_gen5.ogg	ASH74	Jain Zar	SaimHann	gen5	Your fate was sealed the moment you crossed my path.	Your fate was sealed the moment you crossed my path.						exact		
VO_CW_SaimHann_Jain Zar_gen6.ogg	ASH74	Jain Zar	SaimHann	gen6	I've never seen its Lord! I pass wherever my path takes me!	I am a Phoenix Lord! I pass wherever my path takes me!						content-word		1
VO_CW_SaimHann_Jain Zar_gen7.ogg	ASH74	Jain Zar	SaimHann	gen7	You will soon be nothing but a stain on my blades.	It will soon be nothing but a stain on my blades.						content-word		1
VO_CW_SaimHann_Jain Zar_greet.ogg	ASH74	Jain Zar	SaimHann	greet	My blades are ready for you!	My blades are ready for you!						exact		
VO_CW_SaimHann_Jain Zar_hurry.ogg	ASH74	Jain Zar	SaimHann	hurry	It action leads to ruin.	Inaction leads to ruin.						content-word		1
VO_CW_SaimHann_Jain Zar_intro.ogg	ASH74	Jain Zar	SaimHann	intro	You face the storm of silence!	He'll face the storm of silence!						content-word		1
VO_CW_SaimHann_Jain Zar_mirror.ogg	ASH74	Jain Zar	SaimHann	mirror	I won't cry!	Hear my war cry and know that it means death!						content-word		1
VO_CW_SaimHann_Jain Zar_threat.ogg	ASH74	Jain Zar	SaimHann	threat	Only death and leave only corpses.	I bring only death and leave only corpses.						content-word		1
VO_CW_SaimHann_Jain Zar_vsDrukhari.ogg	ASH74	Jain Zar	SaimHann	vsdrukhari	You are that a wretched blade from the city of Shadow!	You are but a wretched blade from the City of Shadow.						content-word		1
VO_CW_SaimHann_Jain Zar_vsHaarken.ogg	ASH74	Jain Zar	SaimHann	vshaarken	Might. You are but a whisper, soon to be silenced.	Mind, you are but a whisper, soon to be silenced.						content-word		1
VO_CW_SaimHann_Jain Zar_vsImotekh.ogg	ASH74	Jain Zar	SaimHann	vsimotekh	Let me show you the true essence of the storm!	Let me show you the true essence of the storm!						exact		
VO_CW_SaimHann_Jain Zar_vsKarandras.ogg	ASH74	Jain Zar	SaimHann	vskarandras	I'll pass cross again, Shadow Hunter.	I'll pass cross again, Shadow Hunter.						exact		
VO_CW_SaimHann_Jain Zar_vsTyranids.ogg	ASH74	Jain Zar	SaimHann	vstyranids	These creatures pose a threat to all life in the galaxy.	These creatures pose a threat to all life in the galaxy!						case-punct-only		
VO_CW_SaimHann_Jain Zar_vsUrsula.ogg	ASH74	Jain Zar	SaimHann	vsursula	These were never your worlds.	These were never your worlds.						exact		
VO_CW_SaimHann_Jain Zar_wp.ogg	ASH74	Jain Zar	SaimHann	wp	Worthy foe.	It is rare that I meet a worthy foe!						content-word		1
VO_CW_SaimHann_Lhykhis_attack.ogg	ASH_Lhykhis	Lhykhis	SaimHann	attack	Ah!	*Gasp*						content-word		1
VO_CW_SaimHann_Lhykhis_cantDo.ogg	ASH_Lhykhis	Lhykhis	SaimHann	cantdo	This is not my path.	This is not my path.						exact		
VO_CW_SaimHann_Lhykhis_concede.ogg	ASH_Lhykhis	Lhykhis	SaimHann	concede	I return to the web way. Fate shall spin a new strand.	I return to the webway. Fate shall spin a new strand.						content-word		1
