file	card_id	name	faction	ev	text	avg_logprob	no_speech_prob	duration_s	elapsed_s	gt_from_filename	retry_no_vad	repaired	clean_flag
VO_BlackLegion_Haarken_Mirror.ogg	BL3	Haarken Worldclaimer	BlackLegion	mirror	Many voices speak of the coming of the Warmaster.	0.0	0.0	4.578	1.47		0		
VO_BlackLegion_Haarken_Threat.ogg	BL3	Haarken Worldclaimer	BlackLegion	threat	You will be crushed by the coming storm.	0.0	0.0	3.374	1.45		0		
VO_BlackLegion_Haarken_vs_Commissar.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	You are wasted in the service of the false emperor.	0.0	0.0	3.618	1.69		0		
VO_BlackLegion_Haarken_vs_JainZar.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	I proclaim our coming.	0.0	0.0	2.498	1.51		0		
VO_BlackLegion_Haarken_vs_Orikan.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	Everything must die in the end.	0.0	0.0	3.398	1.54		0		
VO_BlackLegion_Haarken_vs_Zagstruk.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	I will drive my health spare through your unworthy corpse.	0.0	0.0	4.75	1.67		0		
VO_BlackLegion_Haarken_wp.ogg	BL3	Haarken Worldclaimer	BlackLegion	wp	You are strong. Perhaps you will prevail after all.	0.0	0.0	4.302	1.55		0		
VO_BlackLegion_Hexscorn_Attack.ogg	BL5	Sylar Hexcorn	BlackLegion	attack	Grr!	0.0	0.0	0.716	1.47		0		
VO_BlackLegion_Hexscorn_CantDo.ogg	BL5	Sylar Hexcorn	BlackLegion	cantdo	I cannot do that.	0.0	0.0	1.481	1.45		0		
VO_BlackLegion_Hexscorn_Concede.ogg	BL5	Sylar Hexcorn	BlackLegion	concede	Savor the little time you have earned.	0.0	0.0	3.071	1.52		0		
VO_BlackLegion_Hexscorn_Death.ogg	BL5	Sylar Hexcorn	BlackLegion	death	Uggggggggggggg...	0.0	0.0	1.847	15.51		0		
VO_BlackLegion_Hexscorn_Gen1.ogg	BL5	Sylar Hexcorn	BlackLegion	gen1	The warp tells me everything!	0.0	0.0	2.039	1.42		0		
VO_BlackLegion_Hexscorn_Gen2.ogg	BL5	Sylar Hexcorn	BlackLegion	gen2	We will conquer this galaxy!	0.0	0.0	2.212	1.46		0		
VO_BlackLegion_Hexscorn_Gen3.ogg	BL5	Sylar Hexcorn	BlackLegion	gen3	I command powers beyond what you could possibly fathom.	0.0	0.0	4.607	1.6		0		
VO_BlackLegion_Hexscorn_Gen4.ogg	BL5	Sylar Hexcorn	BlackLegion	gen4	There is always a method to insanity.	0.0	0.0	3.311	1.45		0		
VO_BlackLegion_Hexscorn_Gen5.ogg	BL5	Sylar Hexcorn	BlackLegion	gen5	You were just a plaything of the gods.	0.0	0.0	3.001	1.57		0		
VO_BlackLegion_Hexscorn_Gen6.ogg	BL5	Sylar Hexcorn	BlackLegion	gen6	I will follow Abaddon to the end of everything.	0.0	0.0	3.351	1.57		0		
VO_BlackLegion_Hexscorn_Gen7.ogg	BL5	Sylar Hexcorn	BlackLegion	gen7	Embrace chaos before it's too late.	0.0	0.0	3.076	1.67		0		
VO_BlackLegion_Hexscorn_Greet.ogg	BL5	Sylar Hexcorn	BlackLegion	greet	Come with me, I will open your eyes to the warp.	0.0	0.0	4.367	1.66		0		
VO_BlackLegion_Hexscorn_Hurry.ogg	BL5	Sylar Hexcorn	BlackLegion	hurry	Nothing lasts forever.	0.0	0.0	1.673	1.55		0		
VO_BlackLegion_Hexscorn_Intro.ogg	BL5	Sylar Hexcorn	BlackLegion	intro	The warp flows through me, and it will be your doom.	0.0	0.0	4.217	1.81		0		
VO_BlackLegion_Hexscorn_Mirror.ogg	BL5	Sylar Hexcorn	BlackLegion	mirror	I am the Enlightened One.	0.0	0.0	2.343	1.65		0		
VO_BlackLegion_Hexscorn_Threat.ogg	BL5	Sylar Hexcorn	BlackLegion	threat	I will destroy you with the power of the warp.	0.0	0.0	3.681	1.65		0		
VO_BlackLegion_Hexscorn_vs_Abaddon.ogg	BL5	Sylar Hexcorn	BlackLegion	line	I am ever your servant, Lord.	0.0	0.0	3.215	1.61		0		
VO_BlackLegion_Hexscorn_vs_Keltoc.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Shouldn't your kind all be dead by now?	0.0	0.0	3.081	1.7		0		
VO_BlackLegion_Hexscorn_vs_UrsulaCreed.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Do you like what we did to your world?	0.0	0.0	3.58	1.78		0		
VO_BlackLegion_Hexscorn_vs_Varro.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Why hold back? Unleash your true potential.	0.0	0.0	4.316	1.77		0		
VO_BlackLegion_Hexscorn_vs_tbc2.ogg	BL5	Sylar Hexcorn	BlackLegion	line	You cannot stop the BlackLegion.	0.0	0.0	2.636	1.64		0		
VO_BlackLegion_Hexscorn_vs_tbc3.ogg	BL5	Sylar Hexcorn	BlackLegion	line	I take that personally.	0.0	0.0	2.033	1.59		0		
VO_BlackLegion_Hexscorn_vs_tbc4.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Run away and hide!	0.0	0.0	1.836	1.75		0		
VO_BlackLegion_Hexscorn_wp.ogg	BL5	Sylar Hexcorn	BlackLegion	wp	An impressive feat given your obvious weakness.	0.0	0.0	4.217	1.52		0		
VO_CSM_EC_Alluress (Emily).ogg	EC8	Alluress	EmperorsChildren	line	Come closer!	0.0	0.0	1.429	1.57		0	1	
VO_CSM_EC_Blastmaster Noise Marine (Kevin).ogg	EC19	Blastmaster Noise Marine	EmperorsChildren	line	It's a perfect melody!	0.0	0.0	3.093	1.51		0		
VO_CSM_EC_Blissbringer_High-pitch_Screech.ogg	EC26	Blissbringer	EmperorsChildren	line	R.I.P.	0.0	0.0	2.675	8.61		1		
VO_CSM_EC_Chaos Land Raider (Andrew Dennis).ogg	EC41	Chaos Land Raider	EmperorsChildren	line	Drown that in the sounds of their screams.	0.0	0.0	2.762	1.67		0		
VO_CSM_EC_Chaos Rhino (Andrew Dennis).ogg	EC31	Chaos Rhino	EmperorsChildren	line	More will join in the Prince's revelries.	0.0	0.0	2.77	1.59		0		
VO_CSM_EC_Daemon Prince Xarahan_attack.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	attack	Blah!	0.0	0.0	0.599	1.57		1		
VO_CSM_EC_Daemon Prince Xarahan_cantDo.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	cantdo	No.	0.0	0.0	1.252	1.6		1		
VO_CSM_EC_Daemon Prince Xarahan_concede.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	concede	We'll save the sweet pain for centuries.	0.0	0.0	4.637	1.66		0		
VO_CSM_EC_Daemon Prince Xarahan_death.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	death	Growl!	0.0	0.0	1.598	22.33		1		
VO_CSM_EC_Daemon Prince Xarahan_gen1.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen1	Oh, this curry.	0.0	0.0	4.669	6.81		0		
VO_CSM_EC_Daemon Prince Xarahan_gen2.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen2	I shall relish the sight of your pathetic remains.	0.0	0.0	5.075	1.69		0		
VO_CSM_EC_Daemon Prince Xarahan_gen3.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen3	Oh, the screams I will wrench out of your throat!	0.0	0.0	5.287	1.64		0		
VO_CSM_EC_Daemon Prince Xarahan_gen4.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen4	A magnificent task is in our hands.	0.0	0.0	4.262	1.67		0		
VO_CSM_EC_Daemon Prince Xarahan_gen5.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen5	Are you feeling ever well?	0.0	0.0	2.591	1.54		0		
VO_CSM_EC_Daemon Prince Xarahan_greet.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	greet	Ah, yet another vapid foe is foisted upon me.	0.0	0.0	5.513	1.82		0		
VO_CSM_EC_Daemon Prince Xarahan_hurry.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	hurry	Hesitation dulls the blade of pleasure.	0.0	0.0	4.167	1.7		0		
VO_CSM_EC_Daemon Prince Xarahan_intro.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	intro	Thanks to my Opus of Torment.	0.0	0.0	3.728	1.61		0		
VO_CSM_EC_Daemon Prince Xarahan_mirror.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	mirror	It will be breathtaking.	0.0	0.0	3.685	1.55		1		
VO_CSM_EC_Daemon Prince Xarahan_threat.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	threat	I feel you shiver. Anticipation.	0.0	0.0	6.242	1.8		0		
VO_CSM_EC_Daemon Prince Xarahan_wp.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	wp	Yet, deliver an amusing time.	0.0	0.0	4.445	1.76		0		
VO_CSM_EC_Daemonette (Emily).ogg	EC7	Daemonette	EmperorsChildren	line	You are mine!	0.0	0.0	2.393	1.59		0		
VO_CSM_EC_Disharmonist (Andrew Dennis).ogg	EC27	Disharmonist	EmperorsChildren	line	A dirge for your final breath.	0.0	0.0	2.81	1.62		0		
VO_CSM_EC_Dual Screamer Kakophonist (Joey).ogg	EC32	Dual Screamer Kakophonist	EmperorsChildren	line	Out of Apocalypse!	0.0	0.0	3.403	1.61		0		
VO_CSM_EC_Fiend_High-pitch_Screech.ogg	EC20	Fiend	EmperorsChildren	line	Rrrrrrrrrrrrrrrr!	0.0	0.0	2.364	13.11		1		
VO_CSM_EC_Flawless Blade (Joey).ogg	EC13	Flawless Blade	EmperorsChildren	line	Such delightful agony.	0.0	0.0	3.351	1.48		0		
VO_CSM_EC_Flawless Blade Champion (Kevin).ogg	EC28	Flawless Blade Champion	EmperorsChildren	line	Let the flesh of our enemies sing!	0.0	0.0	3.052	1.52		0		
VO_CSM_EC_Glittering Myriad Infractor (Joey).ogg	EC9	Glittering Myriad Infractor	EmperorsChildren	line	Let us compose a lavish requiem!	0.0	0.0	3.238	1.53		0		
VO_CSM_EC_Glittering Myriad Terminator (Joey).ogg	EC22	Terminator	EmperorsChildren	line	Come on! Amuse me!	0.0	0.0	3.426	1.51		0		
VO_CSM_EC_Heldrake_Roaring_Bellow.ogg	EC38	Heldrake	EmperorsChildren	line	SCREAM!	0.0	0.0	3.516	30.1		1		
VO_CSM_EC_Icon of Excess Infractor (Andrew Dennis).ogg	EC14	Icon of Excess Infractor	EmperorsChildren	line	Give yourself over to pleasure, absolute!	0.0	0.0	2.843	1.81		0		
VO_CSM_EC_Infractor (Andrew Dennis).ogg	EC10	Infractor	EmperorsChildren	line	I cannot wait to hear you please.	0.0	0.0	2.428	1.69		0		
VO_CSM_EC_Infractor Obsessionist (Andrew).ogg	EC21	Infractor Obsessionist	EmperorsChildren	line	Every cut of us, every wound, a chorus.	0.0	0.0	3.63	2.03		0		
VO_CSM_EC_Konstrictus Sorcerer (Joey).ogg	EC30	Slaanesh Sorcerer	EmperorsChildren	line	Dark Prince will have you.	0.0	0.0	3.287	1.62		0		
VO_CSM_EC_Lord Exultant (Kevin).ogg	EC35	Lord Exultant	EmperorsChildren	line	Restrike is a gift from the Prince of Pleasure.	0.0	0.0	4.863	1.97		0		
VO_CSM_EC_Lord Kakophonist (Joey).ogg	EC37	Lord Kakophonist	EmperorsChildren	line	Aim for me!	0.0	0.0	2.289	1.64		0		
VO_CSM_EC_Lord Kaphrael_attack.ogg	EC1	Lord Kaphrael	EmperorsChildren	attack		0.0	0.0	0.26	1.8		1	1	
VO_CSM_EC_Lord Kaphrael_cantDo.ogg	EC1	Lord Kaphrael	EmperorsChildren	cantdo	This does not please me.	0.0	0.0	2.257	1.75		0		
VO_CSM_EC_Lord Kaphrael_concede.ogg	EC1	Lord Kaphrael	EmperorsChildren	concede	The deepest pleasure is found in the most grievous wounds.	0.0	0.0	4.286	2.09		0		
VO_CSM_EC_Lord Kaphrael_death.ogg	EC1	Lord Kaphrael	EmperorsChildren	death	Oof!	0.0	0.0	0.782	5.51		1		
VO_CSM_EC_Lord Kaphrael_gen1.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen1	I hope your blade is sharper than your sense.	0.0	0.0	4.062	1.74		0		
VO_CSM_EC_Lord Kaphrael_gen2.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen2	That was exquisite.	0.0	0.0	3.313	1.64		0		
VO_CSM_EC_Lord Kaphrael_gen3.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen3	Do not blink or you will miss true beauty.	0.0	0.0	3.888	1.73		0		
VO_CSM_EC_Lord Kaphrael_gen4.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen4	Your screams are delightful, I may let you live a bit more.	0.0	0.0	4.898	1.74		0		
VO_CSM_EC_Lord Kaphrael_gen5.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen5	More come seeking their sweet final release.	0.0	0.0	4.225	1.79		0		
VO_CSM_EC_Lord Kaphrael_gen6.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen6	This dance is growing interesting.	0.0	0.0	2.788	1.83		0		
VO_CSM_EC_Lord Kaphrael_gen7.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen7	Do not dare die yet. I crave for more.	0.0	0.0	4.29	1.95		0		
VO_CSM_EC_Lord Kaphrael_greet.ogg	EC1	Lord Kaphrael	EmperorsChildren	greet	You only get one chance to impress me.	0.0	0.0	3.113	1.75		0		
VO_CSM_EC_Lord Kaphrael_hurry.ogg	EC1	Lord Kaphrael	EmperorsChildren	hurry	Faster!	0.0	0.0	1.691	1.55		0		
VO_CSM_EC_Lord Kaphrael_intro.ogg	EC1	Lord Kaphrael	EmperorsChildren	intro	The path to glory is paved with such blissful pain.	0.0	0.0	4.704	1.64		0		
VO_CSM_EC_Lord Kaphrael_mirror.ogg	EC1	Lord Kaphrael	EmperorsChildren	mirror	Each scar and scream brings me closer to perfection.	0.0	0.0	4.886	1.67		0		
VO_CSM_EC_Lord Kaphrael_threat.ogg	EC1	Lord Kaphrael	EmperorsChildren	threat	Pain can become pleasure. You will know both.	0.0	0.0	5.05	1.72		0		
VO_CSM_EC_Lord Kaphrael_wp.ogg	EC1	Lord Kaphrael	EmperorsChildren	wp	Finally, a worthy opponent rises from mediocrity.	0.0	0.0	5.082	1.62		0		
VO_CSM_EC_Lucius_Backup1.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup1	So much despair to relish in.	0.0	0.0	4.172	1.63		0		
VO_CSM_EC_Lucius_Backup2.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup2	May the splendor of the Pleasured Ones bounty still thy heart with ecstasies.	0.0	0.0	6.576	1.82		0		
VO_CSM_EC_Lucius_Backup3.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup3	What do you have for me on the cusp of this battle?	0.0	0.0	5.6	1.69		0		
VO_CSM_EC_Lucius_attack.ogg	EC3	Lucius The Eternal	EmperorsChildren	attack	BWAH!	0.0	0.0	0.684	4.08		1		
VO_CSM_EC_Lucius_cantDo.ogg	EC3	Lucius The Eternal	EmperorsChildren	cantdo	Do not think so.	0.0	0.0	2.01	1.45		0		
VO_CSM_EC_Lucius_concede.ogg	EC3	Lucius The Eternal	EmperorsChildren	concede	All how proud you must feel.	0.0	0.0	3.946	1.54		0		
VO_CSM_EC_Lucius_death.ogg	EC3	Lucius The Eternal	EmperorsChildren	death	Urgh!	0.0	0.0	0.919	13.15		1		
VO_CSM_EC_Lucius_gen1.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen1	Agony Ecstasy Maw.	0.0	0.0	5.342	1.53		0		
VO_CSM_EC_Lucius_gen2.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen2	I could slay you without even sullying my father's blade.	0.0	0.0	5.586	1.68		0		
VO_CSM_EC_Lucius_gen3.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen3	Sing such sweet sorrow.	0.0	0.0	4.193	1.52		0		
VO_CSM_EC_Lucius_gen4.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen4	You are just begging for deliverance.	0.0	0.0	4.73	1.52		0		
VO_CSM_EC_Lucius_gen5.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen5	There was a time you would have impressed me.	0.0	0.0	3.96	1.64		0		
VO_CSM_EC_Lucius_gen6.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen6	Flawless.	0.0	0.0	1.731	1.45		0		
VO_CSM_EC_Lucius_gen7.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen7	Now Disapply Him.	0.0	0.0	3.598	1.59		0		
VO_CSM_EC_Lucius_greet.ogg	EC3	Lucius The Eternal	EmperorsChildren	greet	Do not bore me.	0.0	0.0	2.44	1.51		1		
VO_CSM_EC_Lucius_hurry.ogg	EC3	Lucius The Eternal	EmperorsChildren	hurry	Why delay this pleasure?	0.0	0.0	2.773	1.59		0		
VO_CSM_EC_Lucius_intro.ogg	EC3	Lucius The Eternal	EmperorsChildren	intro	If it is death you crave, who am I to deny it?	0.0	0.0	4.59	1.65		0		
VO_CSM_EC_Lucius_mirror.ogg	EC3	Lucius The Eternal	EmperorsChildren	mirror	How delightfully decadent.	0.0	0.0	2.895	1.58		0		
VO_CSM_EC_Lucius_threat.ogg	EC3	Lucius The Eternal	EmperorsChildren	threat	Your screams will make a fine melody.	0.0	0.0	4.082	1.52		0		
VO_CSM_EC_Lucius_vsAbaddon.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsabaddon	Imperfect Legion is doomed to falter, just like your father did.	0.0	0.0	4.686	1.76		0		
VO_CSM_EC_Lucius_vsAstraMilitarum.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsastramilitarum	You die too quickly. There is no time to savor it.	0.0	0.0	5.923	1.67		0		
VO_CSM_EC_Lucius_vsBile.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsbile	I did not cut my way out from the eye, only to listen to your follyfabious.	0.0	0.0	6.668	1.76		0		
VO_CSM_EC_Lucius_vsCSM.ogg	EC3	Lucius The Eternal	EmperorsChildren	vscsm	Brothers, welcome to the feast. Which among you will be the first course?	0.0	0.0	6.169	1.68		0		
VO_CSM_EC_Lucius_vsDA.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsda	I have not killed any little robed angels in some time.  Let us fix that.	0.0	0.0	7.002	1.69		0		
VO_CSM_EC_Lucius_vsEC.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsec	So, Ambition has chosen its day at last.	0.0	0.0	4.602	1.58		0		
VO_CSM_EC_Lucius_vsFulgrim.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsfulgrim	I always wondered if the Phoenician could fall by his own blade.	0.0	0.0	5.365	1.62		0		
VO_CSM_EC_Lucius_vsUM.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsum	My lower deck grows hollow.	0.0	0.0	8.306	1.56		0		
VO_CSM_EC_Lucius_vsWE.ogg	EC3	Lucius The Eternal	EmperorsChildren	vswe	Pack a band and you little mongrel.	0.0	0.0	4.381	1.53		0		
VO_CSM_EC_Lucius_wp.ogg	EC3	Lucius The Eternal	EmperorsChildren	wp	It has been some time since I have broken a sweat.	0.0	0.0	4.245	1.58		0		
VO_CSM_EC_Maulerfiend_Roaring_Bellow.ogg	EC39	Maulerfiend	EmperorsChildren	line		0.0	0.0	4.509	1.6		1	1	echo
VO_CSM_EC_Plasma Gun Tormentor (Andrew).ogg	EC15	Plasma Gun Tormentor	EmperorsChildren	line	Your last moment will be my masterpiece.	0.0	0.0	3.151	1.52		0		
VO_CSM_EC_Rugged Disharmonist (Andrew Dennis).ogg	EC36	Rugged Disharmonist	EmperorsChildren	line	More!	0.0	0.0	1.328	1.41		0		
VO_CSM_EC_Slaanesh Sorcerer (Andrew Dennis).ogg	EC30	Slaanesh Sorcerer	EmperorsChildren	line	The youngest God must be appeased.	0.0	0.0	2.398	1.54		0		
VO_CSM_EC_Slaanesh's Spawn_Revelling_Screech.ogg	EC16	Slaanesh's Spawn	EmperorsChildren	line	NOOOOO	0.0	0.0	3.03	1.54		1	1	
VO_CSM_EC_Sonic Blaster Noise Marine (Andrew Dennis).ogg	EC17	Sonic Blaster Noise Marine	EmperorsChildren	line	Take under the Prince's sweetest cacophonies.	0.0	0.0	3.043	1.6		0		
VO_CSM_EC_Terminator (Andrew).ogg	EC22	Terminator	EmperorsChildren	line	Hear the offering to the Dark Prince.	0.0	0.0	4.036	1.49		0		
VO_CSM_EC_Terminator Champion (Andrew).ogg	EC33	Terminator Champion	EmperorsChildren	line	Such delightful agony.	0.0	0.0	2.438	1.44		0		
VO_CSM_EC_Threnodic Choir Noise Marine (Joey).ogg	EC18	Threnodic Choir Noise Marine	EmperorsChildren	line	Higher! Louder!	0.0	0.0	2.884	1.48		1		
VO_CSM_EC_Tormentor (Kevin).ogg	EC12	Tormentor	EmperorsChildren	line	None escapes the call of excess.	0.0	0.0	2.849	1.53		0		
VO_CSM_EC_Tormentor Obsessionist (Andrew Dennis).ogg	EC23	Tormentor Obsessionist	EmperorsChildren	line	This shall quench the thirst for a moment.	0.0	0.0	2.715	1.53		0		
VO_CSM_EC_Veteran Noise Marine (Andrew).ogg	EC25	Veteran Noise Marine	EmperorsChildren	line	A melody to shake the stars.	0.0	0.0	2.651	1.52		0		
VO_CSM_EC_Winged Daemon Prince (Andrew Dennis).ogg	EC40	Winged Daemon Prince	EmperorsChildren	line	So many great things. What delicious horrors await them?	0.0	0.0	5.783	1.58		0		
VO_CW_SaimHann_Autarch - Hesitation leads only to failure We must strike! (Vivienne).ogg	ASH_Autarch	Autarch	SaimHann	line	Hesitation leads only to failure. We must strike!	0.0	0.0	3.493	1.54	Hesitation leads only to failure We must strike!	0		
VO_CW_SaimHann_Avatar of Khaine - Death Wakes War Calls.ogg	ASH42	Avatar of Khaine	SaimHann	line	Death Wakes Warcars!	0.0	0.0	3.636	1.52	Death Wakes War Calls	0		
VO_CW_SaimHann_Bright Lance Vyper - Ride now! The knife-pledge shall be honoured! (Joey).ogg	ASH_Bright_Lance_Vyper	Bright Lance Vyper	SaimHann	line	Right now, the knife pledge shall be honoured!	0.0	0.0	3.963	1.69	Ride now! The knife-pledge shall be honoured!	0		
VO_CW_SaimHann_Crimson Hunter - We are the raging winds.ogg	ASH31	Crimson Hunter	SaimHann	line	We are the Raging Winds.	0.0	0.0	1.736	1.58	We are the raging winds	0		
VO_CW_SaimHann_Death Spinner Warp Spider - Death lies in waiting (Vivienne).ogg	ASH_Death_Spinner_Warp_Spider	Death Spinner Warp Spider	SaimHann	line	Death lies in waiting.	0.0	0.0	2.39	1.62	Death lies in waiting	0		
VO_CW_SaimHann_Dire Avenger - When the light fades we must stand as one for the Craftworld.ogg	ASH19	Dire Avenger	SaimHann	line	When the light fades, we must stand as one for the craft world.	0.0	0.0	3.538	1.72	When the light fades we must stand as one for the Craftworld	0		
VO_CW_SaimHann_Dire Avenger Exarch_Let slip of mercy.ogg	ASH32	Dire Avenger Exarch	SaimHann	line	Let's slip of mercy, quell those who defiled the craft world.	0.0	0.0	4.574	1.62		0		
VO_CW_SaimHann_Falcon - Let our enemies feel the rushing wind of death.ogg	ASH33	Falcon	SaimHann	line	Let our enemies feel the rushing wind of death.	0.0	0.0	3.102	1.62	Let our enemies feel the rushing wind of death	0		
VO_CW_SaimHann_Farseer - Every strike weaves a future worthy of our sacrifice (Vivienne).ogg	ASH_Farseer	Farseer	SaimHann	line	Every strike weaves a future worthy of our sacrifice.	0.0	0.0	3.731	1.59	Every strike weaves a future worthy of our sacrifice	0		
VO_CW_SaimHann_Farseer Skyrunner - The winds will howl with the Craftworld's vengeance (Vivienne).ogg	ASH_Farseer_Skyrunner	Farseer Skyrunner	SaimHann	line	The winds will howl with the craft world's vengeance.	0.0	0.0	3.038	1.59	The winds will howl with the Craftworld's vengeance	0		
VO_CW_SaimHann_Fire Dragon - Burn in Khaines fury.ogg	ASH34	Fire Dragon	SaimHann	line	You're in Cain's fury.	0.0	0.0	1.538	1.49	Burn in Khaines fury	0		
VO_CW_SaimHann_Fire Prism - We are the spear of Khaine.ogg	ASH36	Fire prism	SaimHann	line	We are the Spear of Cain!	0.0	0.0	1.594	1.6	We are the spear of Khaine	0		
VO_CW_SaimHann_Guardian Defender - So comes the hour of bloodshed.ogg	ASH7	Guardian Defender	SaimHann	line	So comes the hour of bloodshed.	0.0	0.0	2.006	1.57	So comes the hour of bloodshed	0		
VO_CW_SaimHann_Hemlock Wraithfighter - When my vengeance comes it will be swift.ogg	ASH40	Hemlock Wraithfighter	SaimHann	line	When my vengeance comes, it will be swift.	0.0	0.0	3.304	1.84	When my vengeance comes it will be swift	0		
VO_CW_SaimHann_Hornet - We strike with lethal precision.ogg	ASH78	Hornet	SaimHann	line	We strike with lethal precision.	0.0	0.0	2.45	1.59	We strike with lethal precision	0		
VO_CW_SaimHann_Howling Banshee - Shriek.ogg	ASH20	Howling Banshee	SaimHann	line	AHHHHH!	0.0	0.0	2.062	1.49	Shriek	1		
VO_CW_SaimHann_Howling Banshee Exarch - The wail of Khaine will be your doom!.ogg	ASH79	Howling Banshee Exarch	SaimHann	line	The whale of Cain will be your doom!	0.0	0.0	2.688	1.77	The wail of Khaine will be your doom!	1		
VO_CW_SaimHann_Jain Zar_attack.ogg	ASH74	Jain Zar	SaimHann	attack	F**k!	0.0	0.0	0.611	4.62		1		
VO_CW_SaimHann_Jain Zar_cantDo.ogg	ASH74	Jain Zar	SaimHann	cantdo	I cannot do that!	0.0	0.0	1.521	1.42		0		
VO_CW_SaimHann_Jain Zar_concede.ogg	ASH74	Jain Zar	SaimHann	concede	The wind zone will gather again.	0.0	0.0	4.049	1.53		0		
VO_CW_SaimHann_Jain Zar_death.ogg	ASH74	Jain Zar	SaimHann	death	AHHHHH!	0.0	0.0	1.826	4.48		0		
VO_CW_SaimHann_Jain Zar_gen1.ogg	ASH74	Jain Zar	SaimHann	gen1	LOO Well, anyway, she does not work on the Loo Puff.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .	0.0	0.0	3.805	1.65		1	1	
VO_CW_SaimHann_Jain Zar_gen2.ogg	ASH74	Jain Zar	SaimHann	gen2	I have faced death many times, and still I stand to deliver it!	0.0	0.0	5.174	1.69		0		
VO_CW_SaimHann_Jain Zar_gen3.ogg	ASH74	Jain Zar	SaimHann	gen3	I deliver no mercy other than the peace of death!	0.0	0.0	3.496	1.53		0		
VO_CW_SaimHann_Jain Zar_gen4.ogg	ASH74	Jain Zar	SaimHann	gen4	I will defend what is ours!	0.0	0.0	2.075	1.52		0		
VO_CW_SaimHann_Jain Zar_gen5.ogg	ASH74	Jain Zar	SaimHann	gen5	Your fate was sealed the moment you crossed my path.	0.0	0.0	3.906	1.57		0		
VO_CW_SaimHann_Jain Zar_gen6.ogg	ASH74	Jain Zar	SaimHann	gen6	I've never seen its Lord! I pass wherever my path takes me!	0.0	0.0	4.223	1.62		0		
VO_CW_SaimHann_Jain Zar_gen7.ogg	ASH74	Jain Zar	SaimHann	gen7	You will soon be nothing but a stain on my blades.	0.0	0.0	4.014	1.51		0		
VO_CW_SaimHann_Jain Zar_greet.ogg	ASH74	Jain Zar	SaimHann	greet	My blades are ready for you!	0.0	0.0	2.29	1.48		0		
VO_CW_SaimHann_Jain Zar_hurry.ogg	ASH74	Jain Zar	SaimHann	hurry	It action leads to ruin.	0.0	0.0	2.418	1.44		0		
VO_CW_SaimHann_Jain Zar_intro.ogg	ASH74	Jain Zar	SaimHann	intro	You face the storm of silence!	0.0	0.0	2.397	1.5		0		
VO_CW_SaimHann_Jain Zar_mirror.ogg	ASH74	Jain Zar	SaimHann	mirror	I won't cry!	0.0	0.0	3.823	1.43		0		
