file	card_id	name	faction	ev	text	elapsed_s	gt_from_filename	clean_flag
VO_BlackLegion_Haarken_Mirror.ogg	BL3	Haarken Worldclaimer	BlackLegion	mirror	Many voices speak of the coming of the War Master!	8.26		
VO_BlackLegion_Haarken_Threat.ogg	BL3	Haarken Worldclaimer	BlackLegion	threat	You will be crushed by the coming storm!	8.05		
VO_BlackLegion_Haarken_vs_Commissar.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	You are wasted in the service of the false emperor.	8.1		
VO_BlackLegion_Haarken_vs_JainZar.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	I proclaim our coming.	8.06		
VO_BlackLegion_Haarken_vs_Orikan.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	Everything must die in the end.	8.12		
VO_BlackLegion_Haarken_vs_Zagstruk.ogg	BL3	Haarken Worldclaimer	BlackLegion	line	I will drive my hell spear through your unworthy corpse.	8.07		
VO_BlackLegion_Haarken_wp.ogg	BL3	Haarken Worldclaimer	BlackLegion	wp	You are strong. Perhaps you will prevail after all.	7.73		
VO_BlackLegion_Hexscorn_Attack.ogg	BL5	Sylar Hexcorn	BlackLegion	attack	RRRAH!	7.72		
VO_BlackLegion_Hexscorn_CantDo.ogg	BL5	Sylar Hexcorn	BlackLegion	cantdo	I cannot do that.	7.54		
VO_BlackLegion_Hexscorn_Concede.ogg	BL5	Sylar Hexcorn	BlackLegion	concede	Savor the little time you have earned.	7.86		
VO_BlackLegion_Hexscorn_Death.ogg	BL5	Sylar Hexcorn	BlackLegion	death	*Groans*	8.11		
VO_BlackLegion_Hexscorn_Gen1.ogg	BL5	Sylar Hexcorn	BlackLegion	gen1	The warp tells me everything!	7.82		
VO_BlackLegion_Hexscorn_Gen2.ogg	BL5	Sylar Hexcorn	BlackLegion	gen2	We will conquer this galaxy.	7.9		
VO_BlackLegion_Hexscorn_Gen3.ogg	BL5	Sylar Hexcorn	BlackLegion	gen3	I command powers beyond what you could possibly fathom.	8.09		
VO_BlackLegion_Hexscorn_Gen4.ogg	BL5	Sylar Hexcorn	BlackLegion	gen4	There is always a method to insanity.	7.96		
VO_BlackLegion_Hexscorn_Gen5.ogg	BL5	Sylar Hexcorn	BlackLegion	gen5	You were just a plaything of the gods.	7.58		
VO_BlackLegion_Hexscorn_Gen6.ogg	BL5	Sylar Hexcorn	BlackLegion	gen6	I will follow Abaddon to the end of everything!	7.6		
VO_BlackLegion_Hexscorn_Gen7.ogg	BL5	Sylar Hexcorn	BlackLegion	gen7	Embrace chaos before it's too late.	7.64		
VO_BlackLegion_Hexscorn_Greet.ogg	BL5	Sylar Hexcorn	BlackLegion	greet	Come with me. I will open your eyes to the warp.	7.55		
VO_BlackLegion_Hexscorn_Hurry.ogg	BL5	Sylar Hexcorn	BlackLegion	hurry	Nothing lasts forever.	7.55		
VO_BlackLegion_Hexscorn_Intro.ogg	BL5	Sylar Hexcorn	BlackLegion	intro	The warp flows through me, and it will be your doom.	7.56		
VO_BlackLegion_Hexscorn_Mirror.ogg	BL5	Sylar Hexcorn	BlackLegion	mirror	I am the Enlightened One.	7.55		
VO_BlackLegion_Hexscorn_Threat.ogg	BL5	Sylar Hexcorn	BlackLegion	threat	I will destroy you with the power of the warp.	7.59		
VO_BlackLegion_Hexscorn_vs_Abaddon.ogg	BL5	Sylar Hexcorn	BlackLegion	line	I am ever your servant, Lord.	7.52		
VO_BlackLegion_Hexscorn_vs_Keltoc.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Shouldn't your kind all be dead by now?	7.55		
VO_BlackLegion_Hexscorn_vs_UrsulaCreed.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Do you like what we did to your world?	7.54		
VO_BlackLegion_Hexscorn_vs_Varro.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Why hold back? Unleash your true potential.	7.56		
VO_BlackLegion_Hexscorn_vs_tbc2.ogg	BL5	Sylar Hexcorn	BlackLegion	line	You cannot stop the Black Legion!	7.53		
VO_BlackLegion_Hexscorn_vs_tbc3.ogg	BL5	Sylar Hexcorn	BlackLegion	line	I take that personally.	7.53		
VO_BlackLegion_Hexscorn_vs_tbc4.ogg	BL5	Sylar Hexcorn	BlackLegion	line	Run away and hide.	7.53		
VO_BlackLegion_Hexscorn_wp.ogg	BL5	Sylar Hexcorn	BlackLegion	wp	An impressive feat, given your obvious weakness.	7.56		
VO_CSM_EC_Alluress (Emily).ogg	EC8	Alluress	EmperorsChildren	line	I'm gross!	7.59		
VO_CSM_EC_Blastmaster Noise Marine (Kevin).ogg	EC19	Blastmaster Noise Marine	EmperorsChildren	line	I will create the perfect melody!	7.59		
VO_CSM_EC_Blissbringer_High-pitch_Screech.ogg	EC26	Blissbringer	EmperorsChildren	line	*Screams*	7.62		
VO_CSM_EC_Chaos Land Raider (Andrew Dennis).ogg	EC41	Chaos Land Raider	EmperorsChildren	line	Drown them in the sounds of their screams!	7.52		
VO_CSM_EC_Chaos Rhino (Andrew Dennis).ogg	EC31	Chaos Rhino	EmperorsChildren	line	More will join in the prince's revelries.	7.54		
VO_CSM_EC_Daemon Prince Xarahan_attack.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	attack	*Bah*	7.6		
VO_CSM_EC_Daemon Prince Xarahan_cantDo.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	cantdo	No!	7.56		
VO_CSM_EC_Daemon Prince Xarahan_concede.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	concede	I will savor the sweet pain for centuries.	7.64		
VO_CSM_EC_Daemon Prince Xarahan_death.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	death	*Burr*	8.36		
VO_CSM_EC_Daemon Prince Xarahan_gen1.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen1	All this grief, I must have more!	8.0		
VO_CSM_EC_Daemon Prince Xarahan_gen2.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen2	I shall relish the sight of your pathetic remains.	7.96		
VO_CSM_EC_Daemon Prince Xarahan_gen3.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen3	Oh, the screams I will wrench out of your throat!	7.91		
VO_CSM_EC_Daemon Prince Xarahan_gen4.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen4	A magnificent task is in our hands.	8.0		
VO_CSM_EC_Daemon Prince Xarahan_gen5.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	gen5	Are you feeling overwhelmed?	8.14		
VO_CSM_EC_Daemon Prince Xarahan_greet.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	greet	Ah, yet another vapid foe is foisted upon me.	8.13		
VO_CSM_EC_Daemon Prince Xarahan_hurry.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	hurry	Hesitation dulls the blade of pleasure.	8.17		
VO_CSM_EC_Daemon Prince Xarahan_intro.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	intro	Bear witness to my ocusp of torment.	8.06		
VO_CSM_EC_Daemon Prince Xarahan_mirror.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	mirror	It will be breathtaking.	8.14		
VO_CSM_EC_Daemon Prince Xarahan_threat.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	threat	I feel you shiver. Is it fear or anticipation?	8.2		
VO_CSM_EC_Daemon Prince Xarahan_wp.ogg	EC5	Xarahan Daemon Prince	EmperorsChildren	wp	You might yet deliver an amusing time.	8.19		
VO_CSM_EC_Daemonette (Emily).ogg	EC7	Daemonette	EmperorsChildren	line	You are mine!	7.99		
VO_CSM_EC_Disharmonist (Andrew Dennis).ogg	EC27	Disharmonist	EmperorsChildren	line	A dirge for your final breath.	7.8		
VO_CSM_EC_Dual Screamer Kakophonist (Joey).ogg	EC32	Dual Screamer Kakophonist	EmperorsChildren	line	I am the clamor of apocalypse.	7.77		
VO_CSM_EC_Fiend_High-pitch_Screech.ogg	EC20	Fiend	EmperorsChildren	line	- -	7.97		
VO_CSM_EC_Flawless Blade (Joey).ogg	EC13	Flawless Blade	EmperorsChildren	line	Such delightful agony.	8.04		
VO_CSM_EC_Flawless Blade Champion (Kevin).ogg	EC28	Flawless Blade Champion	EmperorsChildren	line	Let the flesh of our enemies sing!	7.91		
VO_CSM_EC_Glittering Myriad Infractor (Joey).ogg	EC9	Glittering Myriad Infractor	EmperorsChildren	line	Let us compose a lavish requiem!	7.86		
VO_CSM_EC_Glittering Myriad Terminator (Joey).ogg	EC22	Terminator	EmperorsChildren	line	Come on, amuse me!	7.88		
VO_CSM_EC_Heldrake_Roaring_Bellow.ogg	EC38	Heldrake	EmperorsChildren	line	*Mario plays*	7.97		
VO_CSM_EC_Icon of Excess Infractor (Andrew Dennis).ogg	EC14	Icon of Excess Infractor	EmperorsChildren	line	Give yourself over to Pleasure Absolute!	7.78		
VO_CSM_EC_Infractor (Andrew Dennis).ogg	EC10	Infractor	EmperorsChildren	line	I cannot wait to hear your pleas.	8.07		
VO_CSM_EC_Infractor Obsessionist (Andrew).ogg	EC21	Infractor Obsessionist	EmperorsChildren	line	Every cat a verse. Every wound a chorus.	8.07		
VO_CSM_EC_Konstrictus Sorcerer (Joey).ogg	EC30	Slaanesh Sorcerer	EmperorsChildren	line	The Dark Prince will have you.	8.1		
VO_CSM_EC_Lord Exultant (Kevin).ogg	EC35	Lord Exultant	EmperorsChildren	line	Every strike is a gift from the Prince of Pleasure.	7.89		
VO_CSM_EC_Lord Kakophonist (Joey).ogg	EC37	Lord Kakophonist	EmperorsChildren	line	SCREAM FOR ME!	7.56		
VO_CSM_EC_Lord Kaphrael_attack.ogg	EC1	Lord Kaphrael	EmperorsChildren	attack	No!	7.59		
VO_CSM_EC_Lord Kaphrael_cantDo.ogg	EC1	Lord Kaphrael	EmperorsChildren	cantdo	This does not please me.	7.5		
VO_CSM_EC_Lord Kaphrael_concede.ogg	EC1	Lord Kaphrael	EmperorsChildren	concede	The deepest pleasure is found in the most grievous wounds.	7.59		
VO_CSM_EC_Lord Kaphrael_death.ogg	EC1	Lord Kaphrael	EmperorsChildren	death	*crash*	7.73		
VO_CSM_EC_Lord Kaphrael_gen1.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen1	I hope your blade is sharper than your sense.	8.35		
VO_CSM_EC_Lord Kaphrael_gen2.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen2	That was exquisite.	7.97		
VO_CSM_EC_Lord Kaphrael_gen3.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen3	Do not blink or you will miss true beauty.	7.86		
VO_CSM_EC_Lord Kaphrael_gen4.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen4	Your screams are delightful. I may let you live a bit more.	7.75		
VO_CSM_EC_Lord Kaphrael_gen5.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen5	Moocom seeking their sweet final release.	8.1		
VO_CSM_EC_Lord Kaphrael_gen6.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen6	This dance is growing interesting.	8.18		
VO_CSM_EC_Lord Kaphrael_gen7.ogg	EC1	Lord Kaphrael	EmperorsChildren	gen7	Do not dare die yet. I crave for more.	8.28		
VO_CSM_EC_Lord Kaphrael_greet.ogg	EC1	Lord Kaphrael	EmperorsChildren	greet	You only get one chance to impress me.	8.05		
VO_CSM_EC_Lord Kaphrael_hurry.ogg	EC1	Lord Kaphrael	EmperorsChildren	hurry	Come on, faster!	8.01		
VO_CSM_EC_Lord Kaphrael_intro.ogg	EC1	Lord Kaphrael	EmperorsChildren	intro	The path to glory is paved with such blissful pain.	8.01		
VO_CSM_EC_Lord Kaphrael_mirror.ogg	EC1	Lord Kaphrael	EmperorsChildren	mirror	Each scar and scream brings me closer to perfection.	7.77		
VO_CSM_EC_Lord Kaphrael_threat.ogg	EC1	Lord Kaphrael	EmperorsChildren	threat	Pain can become pleasure. You will know both.	7.62		
VO_CSM_EC_Lord Kaphrael_wp.ogg	EC1	Lord Kaphrael	EmperorsChildren	wp	Finally, a worthy opponent rises from mediocrity.	7.71		
VO_CSM_EC_Lucius_Backup1.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup1	So much despair to relish in.	7.48		
VO_CSM_EC_Lucius_Backup2.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup2	May the splendor of the pleasured one's bounty still thy heart with ecstasies.	7.51		
VO_CSM_EC_Lucius_Backup3.ogg	EC3	Lucius The Eternal	EmperorsChildren	backup3	What do you have for me on the cusp of this most glorious battle?	7.49		
VO_CSM_EC_Lucius_attack.ogg	EC3	Lucius The Eternal	EmperorsChildren	attack	*Bah*	7.62		
VO_CSM_EC_Lucius_cantDo.ogg	EC3	Lucius The Eternal	EmperorsChildren	cantdo	I do not think so.	7.51		
VO_CSM_EC_Lucius_concede.ogg	EC3	Lucius The Eternal	EmperorsChildren	concede	Oh, how proud you must feel.	7.54		
VO_CSM_EC_Lucius_death.ogg	EC3	Lucius The Eternal	EmperorsChildren	death	AHH!	7.58		
VO_CSM_EC_Lucius_gen1.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen1	Agony. Ecstasy. More.	7.54		
VO_CSM_EC_Lucius_gen2.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen2	I could slay you without even sullying my father's blade.	7.55		
VO_CSM_EC_Lucius_gen3.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen3	Every cat sings such sweet sorrow.	7.5		
VO_CSM_EC_Lucius_gen4.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen4	Oh, you are just begging for deliverance.	7.59		
VO_CSM_EC_Lucius_gen5.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen5	There was a time you would have impressed me.	7.6		
VO_CSM_EC_Lucius_gen6.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen6	Flawless.	7.51		
VO_CSM_EC_Lucius_gen7.ogg	EC3	Lucius The Eternal	EmperorsChildren	gen7	This spilling of blood is sublime.	7.57		
VO_CSM_EC_Lucius_greet.ogg	EC3	Lucius The Eternal	EmperorsChildren	greet	Do not bore me.	7.57		
VO_CSM_EC_Lucius_hurry.ogg	EC3	Lucius The Eternal	EmperorsChildren	hurry	Why delay this pleasure?	7.54		
VO_CSM_EC_Lucius_intro.ogg	EC3	Lucius The Eternal	EmperorsChildren	intro	If it is death you crave, who am I to deny it?	7.54		
VO_CSM_EC_Lucius_mirror.ogg	EC3	Lucius The Eternal	EmperorsChildren	mirror	How delightfully decadent.	7.55		
VO_CSM_EC_Lucius_threat.ogg	EC3	Lucius The Eternal	EmperorsChildren	threat	Your screams will make a fine melody.	7.59		
VO_CSM_EC_Lucius_vsAbaddon.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsabaddon	An imperfect Legion is doomed to falter, just like your father did.	7.56		
VO_CSM_EC_Lucius_vsAstraMilitarum.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsastramilitarum	Oh, you die too quickly. There is no time to savor it.	7.59		
VO_CSM_EC_Lucius_vsBile.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsbile	I did not cut my way out from the eye, only to listen to your folly, Fabius.	7.6		
VO_CSM_EC_Lucius_vsCSM.ogg	EC3	Lucius The Eternal	EmperorsChildren	vscsm	Brothers, welcome to the feast. Which among you will be the first course?	7.62		
VO_CSM_EC_Lucius_vsDA.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsda	I have not killed any little robed angels in some time. Let us fix that.	7.61		
VO_CSM_EC_Lucius_vsEC.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsec	So, ambition has chosen its day at last.	7.57		
VO_CSM_EC_Lucius_vsFulgrim.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsfulgrim	I always wondered if the Phoenician could fall by his own blade.	7.6		
VO_CSM_EC_Lucius_vsUM.ogg	EC3	Lucius The Eternal	EmperorsChildren	vsum	My lower deck grows hollow. Some of you are bound to be fine entertainment.	7.63		
VO_CSM_EC_Lucius_vsWE.ogg	EC3	Lucius The Eternal	EmperorsChildren	vswe	Did your pack abandon you, little mongrel?	7.56		
VO_CSM_EC_Lucius_wp.ogg	EC3	Lucius The Eternal	EmperorsChildren	wp	It has been some time since I have broken a sweat.	7.53		
VO_CSM_EC_Maulerfiend_Roaring_Bellow.ogg	EC39	Maulerfiend	EmperorsChildren	line	*throwing*	7.6		
VO_CSM_EC_Plasma Gun Tormentor (Andrew).ogg	EC15	Plasma Gun Tormentor	EmperorsChildren	line	Your last moment will be my masterpiece.	7.57		
VO_CSM_EC_Rugged Disharmonist (Andrew Dennis).ogg	EC36	Rugged Disharmonist	EmperorsChildren	line	More!	7.51		
VO_CSM_EC_Slaanesh Sorcerer (Andrew Dennis).ogg	EC30	Slaanesh Sorcerer	EmperorsChildren	line	The youngest god must be appeased.	7.54		
VO_CSM_EC_Slaanesh's Spawn_Revelling_Screech.ogg	EC16	Slaanesh's Spawn	EmperorsChildren	line	*Gunshot*	7.61		
VO_CSM_EC_Sonic Blaster Noise Marine (Andrew Dennis).ogg	EC17	Sonic Blaster Noise Marine	EmperorsChildren	line	Break under the prince's sweetest cacophonies!	7.55		
VO_CSM_EC_Terminator (Andrew).ogg	EC22	Terminator	EmperorsChildren	line	You will make a worthy offering to the Dark Prince.	7.55		
VO_CSM_EC_Terminator Champion (Andrew).ogg	EC33	Terminator Champion	EmperorsChildren	line	Such delightful agony.	7.53		
VO_CSM_EC_Threnodic Choir Noise Marine (Joey).ogg	EC18	Threnodic Choir Noise Marine	EmperorsChildren	line	HIGHER! LOUDER!	7.55		
VO_CSM_EC_Tormentor (Kevin).ogg	EC12	Tormentor	EmperorsChildren	line	None escapes the call of excess.	7.57		
VO_CSM_EC_Tormentor Obsessionist (Andrew Dennis).ogg	EC23	Tormentor Obsessionist	EmperorsChildren	line	This shall quench the thirst for a moment.	7.56		
VO_CSM_EC_Veteran Noise Marine (Andrew).ogg	EC25	Veteran Noise Marine	EmperorsChildren	line	A melody to shake the stars.	7.66		
VO_CSM_EC_Winged Daemon Prince (Andrew Dennis).ogg	EC40	Winged Daemon Prince	EmperorsChildren	line	So many playthings. What delicious horrors await them.	7.73		
VO_CW_SaimHann_Autarch - Hesitation leads only to failure We must strike! (Vivienne).ogg	ASH_Autarch	Autarch	SaimHann	line	Hesitation leads only to failure. We must strike.	7.62	Hesitation leads only to failure We must strike!	
VO_CW_SaimHann_Avatar of Khaine - Death Wakes War Calls.ogg	ASH42	Avatar of Khaine	SaimHann	line	Death wakes, war cars.	7.57	Death Wakes War Calls	
VO_CW_SaimHann_Bright Lance Vyper - Ride now! The knife-pledge shall be honoured! (Joey).ogg	ASH_Bright_Lance_Vyper	Bright Lance Vyper	SaimHann	line	Right now! The knife pledge shall be honored!	7.58	Ride now! The knife-pledge shall be honoured!	
VO_CW_SaimHann_Crimson Hunter - We are the raging winds.ogg	ASH31	Crimson Hunter	SaimHann	line	We are the Raging Winds.	7.52	We are the raging winds	
VO_CW_SaimHann_Death Spinner Warp Spider - Death lies in waiting (Vivienne).ogg	ASH_Death_Spinner_Warp_Spider	Death Spinner Warp Spider	SaimHann	line	Death lies in waiting.	7.51	Death lies in waiting	
VO_CW_SaimHann_Dire Avenger - When the light fades we must stand as one for the Craftworld.ogg	ASH19	Dire Avenger	SaimHann	line	When the light fades, we must stand as one for the craft world.	7.57	When the light fades we must stand as one for the Craftworld	
VO_CW_SaimHann_Dire Avenger Exarch_Let slip of mercy.ogg	ASH32	Dire Avenger Exarch	SaimHann	line	Let slip of mercy quell those who defiled the craft world.	7.58		
VO_CW_SaimHann_Falcon - Let our enemies feel the rushing wind of death.ogg	ASH33	Falcon	SaimHann	line	Let our enemies feel the rushing wind of death.	7.62	Let our enemies feel the rushing wind of death	
VO_CW_SaimHann_Farseer - Every strike weaves a future worthy of our sacrifice (Vivienne).ogg	ASH_Farseer	Farseer	SaimHann	line	Every strike weaves a future worthy of our sacrifice.	7.54	Every strike weaves a future worthy of our sacrifice	
VO_CW_SaimHann_Farseer Skyrunner - The winds will howl with the Craftworld's vengeance (Vivienne).ogg	ASH_Farseer_Skyrunner	Farseer Skyrunner	SaimHann	line	The winds will howl with the craft world's vengeance.	7.55	The winds will howl with the Craftworld's vengeance	
VO_CW_SaimHann_Fire Dragon - Burn in Khaines fury.ogg	ASH34	Fire Dragon	SaimHann	line	Burn in Cain's fury!	7.55	Burn in Khaines fury	
VO_CW_SaimHann_Fire Prism - We are the spear of Khaine.ogg	ASH36	Fire prism	SaimHann	line	We are the Spear of Cain!	7.54	We are the spear of Khaine	
VO_CW_SaimHann_Guardian Defender - So comes the hour of bloodshed.ogg	ASH7	Guardian Defender	SaimHann	line	So comes the hour of bloodshed.	7.55	So comes the hour of bloodshed	
VO_CW_SaimHann_Hemlock Wraithfighter - When my vengeance comes it will be swift.ogg	ASH40	Hemlock Wraithfighter	SaimHann	line	When my vengeance comes, it will be swift.	7.55	When my vengeance comes it will be swift	
VO_CW_SaimHann_Hornet - We strike with lethal precision.ogg	ASH78	Hornet	SaimHann	line	We strike with lethal precision.	7.55	We strike with lethal precision	
VO_CW_SaimHann_Howling Banshee - Shriek.ogg	ASH20	Howling Banshee	SaimHann	line	*Screams*	7.63	Shriek	
VO_CW_SaimHann_Howling Banshee Exarch - The wail of Khaine will be your doom!.ogg	ASH79	Howling Banshee Exarch	SaimHann	line	The whale of Cain will be your doom!	7.57	The wail of Khaine will be your doom!	
VO_CW_SaimHann_Jain Zar_attack.ogg	ASH74	Jain Zar	SaimHann	attack	*Gunshot*	7.62		
VO_CW_SaimHann_Jain Zar_cantDo.ogg	ASH74	Jain Zar	SaimHann	cantdo	I cannot do that!	7.54		
VO_CW_SaimHann_Jain Zar_concede.ogg	ASH74	Jain Zar	SaimHann	concede	The winds are unfavorable, but the storm will gather again.	7.56		
VO_CW_SaimHann_Jain Zar_death.ogg	ASH74	Jain Zar	SaimHann	death	*Screams*	7.59		
VO_CW_SaimHann_Jain Zar_gen1.ogg	ASH74	Jain Zar	SaimHann	gen1	*crickets*	7.77		
VO_CW_SaimHann_Jain Zar_gen2.ogg	ASH74	Jain Zar	SaimHann	gen2	I have faced death many times, and still I stand to deliver it!	7.61		
VO_CW_SaimHann_Jain Zar_gen3.ogg	ASH74	Jain Zar	SaimHann	gen3	I deliver no mercy other than the peace of death.	7.64		
VO_CW_SaimHann_Jain Zar_gen4.ogg	ASH74	Jain Zar	SaimHann	gen4	I will defend what is ours!	7.5		
VO_CW_SaimHann_Jain Zar_gen5.ogg	ASH74	Jain Zar	SaimHann	gen5	Your fate was sealed the moment you crossed my path.	7.52		
VO_CW_SaimHann_Jain Zar_gen6.ogg	ASH74	Jain Zar	SaimHann	gen6	I am a Phoenix Lord! I pass wherever my path takes me!	7.52		
VO_CW_SaimHann_Jain Zar_gen7.ogg	ASH74	Jain Zar	SaimHann	gen7	It will soon be nothing but a stain on my blades.	7.61		
VO_CW_SaimHann_Jain Zar_greet.ogg	ASH74	Jain Zar	SaimHann	greet	My blades are ready for you!	7.58		
VO_CW_SaimHann_Jain Zar_hurry.ogg	ASH74	Jain Zar	SaimHann	hurry	Inaction leads to ruin.	7.5		
VO_CW_SaimHann_Jain Zar_intro.ogg	ASH74	Jain Zar	SaimHann	intro	He'll face the storm of silence!	7.37		
VO_CW_SaimHann_Jain Zar_mirror.ogg	ASH74	Jain Zar	SaimHann	mirror	Hear my war cry and know that it means death!	7.38		
VO_CW_SaimHann_Jain Zar_threat.ogg	ASH74	Jain Zar	SaimHann	threat	I bring only death and leave only corpses.	7.36		
VO_CW_SaimHann_Jain Zar_vsDrukhari.ogg	ASH74	Jain Zar	SaimHann	vsdrukhari	You are but a wretched blade from the City of Shadow.	7.38		
VO_CW_SaimHann_Jain Zar_vsHaarken.ogg	ASH74	Jain Zar	SaimHann	vshaarken	Mind, you are but a whisper, soon to be silenced.	7.37		
VO_CW_SaimHann_Jain Zar_vsImotekh.ogg	ASH74	Jain Zar	SaimHann	vsimotekh	Let me show you the true essence of the storm!	7.37		
VO_CW_SaimHann_Jain Zar_vsKarandras.ogg	ASH74	Jain Zar	SaimHann	vskarandras	I'll pass cross again, Shadow Hunter.	7.35		
VO_CW_SaimHann_Jain Zar_vsTyranids.ogg	ASH74	Jain Zar	SaimHann	vstyranids	These creatures pose a threat to all life in the galaxy!	7.38		
VO_CW_SaimHann_Jain Zar_vsUrsula.ogg	ASH74	Jain Zar	SaimHann	vsursula	These were never your worlds.	7.33		
VO_CW_SaimHann_Jain Zar_wp.ogg	ASH74	Jain Zar	SaimHann	wp	It is rare that I meet a worthy foe!	7.35		
VO_CW_SaimHann_Lhykhis_attack.ogg	ASH_Lhykhis	Lhykhis	SaimHann	attack	*Gasp*	7.42		
VO_CW_SaimHann_Lhykhis_cantDo.ogg	ASH_Lhykhis	Lhykhis	SaimHann	cantdo	This is not my path.	7.34		
VO_CW_SaimHann_Lhykhis_concede.ogg	ASH_Lhykhis	Lhykhis	SaimHann	concede	I return to the webway. Fate shall spin a new strand.	7.37		
VO_CW_SaimHann_Lhykhis_death.ogg	ASH_Lhykhis	Lhykhis	SaimHann	death	*Gasp*	7.49		
VO_CW_SaimHann_Lhykhis_gen1.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen1	Do not think your ambitions are unnoticed.	7.4		
VO_CW_SaimHann_Lhykhis_gen2.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen2	A mere whisper can twist the strands of fate.	7.39		
VO_CW_SaimHann_Lhykhis_gen3.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen3	Vatican demands your silence!	7.38		
VO_CW_SaimHann_Lhykhis_gen4.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen4	When you turn to see me, I will already be gone.	7.38		
VO_CW_SaimHann_Lhykhis_gen5.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen5	I am the blade that severs the skeins.	7.38		
VO_CW_SaimHann_Lhykhis_gen6.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen6	No good leader would send lives to end in vain.	7.36		
VO_CW_SaimHann_Lhykhis_gen7.ogg	ASH_Lhykhis	Lhykhis	SaimHann	gen7	Hubris only speeds the downfall of the arrogant.	7.36		
VO_CW_SaimHann_Lhykhis_greet.ogg	ASH_Lhykhis	Lhykhis	SaimHann	greet	For the good of the Asuriani, I will end this swiftly.	7.41		
VO_CW_SaimHann_Lhykhis_hurry.ogg	ASH_Lhykhis	Lhykhis	SaimHann	hurry	This game's Titan. It is now or never.	7.4		
VO_CW_SaimHann_Lhykhis_intro.ogg	ASH_Lhykhis	Lhykhis	SaimHann	intro	The webway stirs. The whisper must be heard again.	7.4		
VO_CW_SaimHann_Lhykhis_mirror.ogg	ASH_Lhykhis	Lhykhis	SaimHann	mirror	For too long have I been silenced.	7.32		
VO_CW_SaimHann_Lhykhis_threat.ogg	ASH_Lhykhis	Lhykhis	SaimHann	threat	The blink of an eye is enough to weave your end.	7.36		
VO_CW_SaimHann_Lhykhis_vsEC.ogg	ASH_Lhykhis	Lhykhis	SaimHann	vsec	The errors of the past must be cleansed.	7.39		
VO_CW_SaimHann_Lhykhis_vsJainZar.ogg	ASH_Lhykhis	Lhykhis	SaimHann	vsjainzar	Have they not need of you elsewhere?	7.38		
VO_CW_SaimHann_Lhykhis_vsNecrons.ogg	ASH_Lhykhis	Lhykhis	SaimHann	vsnecrons	Your time has passed. Your silence must begin.	7.41		
VO_CW_SaimHann_Lhykhis_vsTyranids.ogg	ASH_Lhykhis	Lhykhis	SaimHann	vstyranids	Every step, a new horror to vanquish.	7.37		
VO_CW_SaimHann_Lhykhis_wp.ogg	ASH_Lhykhis	Lhykhis	SaimHann	wp	A brave effort, but I have faced worse in the webway.	7.38		
VO_CW_SaimHann_Night Spinner - A silent death descends upon our foes.ogg	ASH81	Night Spinner	SaimHann	line	A silent death descends upon our foes.	7.37	A silent death descends upon our foes	
