keys,type,zh_CN
Give +1 and +1 to all friendly troops,~,给予所有友方部队 +1 和 +1。
Give +1 and +1 to another random friendly troop,~,给予另一个随机友方部队 +1 和 +1。
Give +1 and +1 to your troops this turn,~,本回合给予你的部队 +1 和 +1。
Give +1 and Blast 1 to all friendly units this turn,~,本回合给予所有我方单位 +1 攻击与爆裂 1
Give +1 and Flank to a random troop in your hand,~,给予你手牌中的一个随机部队 +1 攻击和 +1 生命值，以及侧翼。
"Give +1 melee, +1 ranged and +1 Health to all your troops",~,给予你的所有部队 +1 近战、+1 远程和 +1 生命
Give +1 to a friendly unit. Gain 2,~,给予一个我方单位 +1 攻击。获得 2 点任务
Give +1 to your troops and reload their Duty abilities,~,给予你的部队 +1，并重置其职责能力。
Give +2 Attack and +2 Armor to a friendly unit this turn. 5 Energy: Draw a card,~,本回合给予 1 个友方单位 +2 近战和 +2 远程攻击。5 ☀：抽 1 张牌
Give +2 Attack and +2 Health to a friendly troop,~,给予一个友方部队 +2 攻击和 +2 生命值。
"Give +2 Attack and +2 Health to a friendly troop. If you control 3 or more troops, draw a card.",~,给予 1 个友方部队 +2 攻击和 +2 生命。若你控制 3 个或更多部队，抽 1 张卡。
Give +2 Attack and Flank to a friendly Vehicle,~,给予一个友方载具 +2 攻击和侧翼。
Give +2 Attack to a friendly unit this turn.,~,本回合给予 1 个友方单位 +2 攻击。
"Give +2 Attack, +2 Armor and +2 Health to your troops and trigger their Teleport abilities.",~,给予我方部队 +2 攻击、+2 护甲与 +2 生命，并触发其传送能力。
"Give +2 Health and ""Strike: Trigger this troop's Codex ability"" to a friendly troop",~,给予 1 个友方部队 +2 生命，并给予它「猛击：触发本部队的典籍能力」。
Give +2 Health and Camouflage,~,给予 +2 生命和伪装。
"Give +2 Health to a friendly unit. If it's a Beast, give it +2 Armor as well.",~,给予一个友方单位 +2 生命值。如果它是野兽，同时给予其 +2 护甲。
"Give +2 Health to a friendly unit. The next time it uses Ferocity this turn, it stays in play",~,给予 1 个友方单位 +2 生命。本回合它下次使用狂暴时，它将留在场上。
"Give +2 Health to all friendly units. If you control a Beast, heal 4 to your Warlord",~,给予所有友方单位 +2 生命值。如果你控制一只野兽，为你的督军治疗 4 点生命值。
Give +2 Health to all friendly units. Oath 4: Give them an additional +3 Health,~,给予所有友方单位 +2 生命。誓言 4：额外给予它们 +3 生命。
Give +2 Health to your units,~,给予你的单位 +2 生命值。
"Give +2 Health to your units.
4: Give an additional +1 Health.
7: Give them +1 Attack and +1 Weapon as well.",~,"给予你的单位 +2 生命。
4 ☀：额外给予 +1 生命。
7 ☀：同时给予它们 +1 攻击和 +1 武器。"
Give +2 Melee Attack and +2 Ranged Attack,~,给予 +2 近战攻击和 +2 远程攻击。
Give +2 Melee Attack and Vanguard,~,给予 +2 近战攻击和先锋。
Give +2 Melee Attack and Vanguard to a friendly troop,~,给予 1 个友方部队 +2 近战攻击和先锋。
Give +2 Melee Attack this turn and heal 1 to all friendly units,~,本回合给予所有我方单位 +2 近战攻击，并治疗所有我方单位 1 点
"Give +2 Melee Attack to a friendly troop, and an additional +2 Melee Attack for each Dark Pact on it",~,给予一个我方部队 +2 近战攻击，其上的每个黑暗契约再额外给予 +2 近战攻击
"Give +2 Melee Attack, +2 Ranged Attack and +2 Health to a friendly troop",~,给予 1 个友方部队 +2 近战攻击、+2 远程攻击和 +2 生命
Give +2 Melee and +2 Ranged Attack to your units. ② Repeat this effect,~,给予你的单位 +2 近战和 +2 远程攻击。②重复此效果
Give +2 Melee and +2 Ranged attack to a friendly unit this turn,~,给予 1 个友方单位本回合 +2 近战和 +2 远程攻击
Give +2 Melee to a friendly unit this turn,~,给予 1 个友方单位本回合 +2 近战
Give +2 Ranged Attack and +2 Health to a friendly troop,~,给予 1 个友方部队 +2 远程攻击和 +2 生命
Give +2 Ranged Attack to a friendly troop,~,给予 1 个友方部队 +2 远程攻击。
"Give +2 Ranged Attack to your troops, and trigger their Codex abilities",~,给予你的部队 +2 远程攻击，并触发它们的典籍能力。
Give +2 Ranged Attack to your units this turn,~,给予你的单位本回合 +2 远程攻击
Give +2 [Attack] and -2 [Armor] to your Infantry until your next turn,~,给予你的步兵 +2 攻击和 -2 装甲，直到你的下个回合。
Give +2 [Attack] and Concussive to a friendly Vehicle,~,给予一个友方载具 +2[攻击] 和震荡。
Give +2 [Attack] to a friendly troop and adjacent troops,~,给予一个友方部队及其相邻部队 +2 [攻击]。
Give +2 [Attack] to all friendly troops,~,给予所有友方部队 +2 攻击。
Give +2 [Attack] to your units until your next turn,~,直到你的下回合，给予你的单位 +2 攻击。
Give +2 [Might] to your units until your next turn. 4 [Energy]: Give an additional +1 [Might],~,直到你的下个回合给予你的单位 +2 [力量]。4 [能量]：额外给予 +1 [力量]
Give +2 [Ranged] to your units until your next turn. Lower cost by 1 when a friendly troop dies,~,直到你的下个回合，给予你的单位 +2 [远程]。每当一个友方部队死亡时，此牌费用减少 1 点。
Give +2 [attack] and Armour 2 to your Warlord this turn,~,本回合给予你的督军 +2 攻击与护甲 2
"Give +2 [attack], +2 [armor] and Concussive to a friendly troop",~,给予一个友方部队 +2 [攻击]、+2 [装甲] 和震荡。
Give +2 [health icon] and +2 [attack icon] to all your units in play and in hand. Lower cost by 1 when a friendly Troop or Stratagem trigger [Codex icon] Codex,~,给予你场上和手牌中的所有单位 +2 生命和 +2 攻击。当 1 个友方部队或战术触发典籍时，此卡费用 -1。
Give +2 attack to a friendly troop,~,给予一个友方部队 +2 攻击。
Give +2 to a friendly troop,~,给予一个友方部队 +2。
Give +2 to your Warlord and +1 to adjacent troops this turn. Gain 1.,~,本回合给予你的督军 +2 力量，并给予相邻部队 +1 力量。获得 1 ☀。
Give +2 to your units this turn,~,本回合给予你的单位 +2 攻击和 +2 生命值。
Give +3 Attack and +3 Armor to a friendly unit this turn. 1 Also give it Shield,~,本回合给予 1 个友方单位 +3 攻击和 +3 护甲。①同时给予它护盾
"Give +3 Attack, +3 Armor and +3 Health to a friendly troop.",~,给予 1 个友方部队 +3 攻击、+3 装甲和 +3 生命。
"Give +3 Health and Vanguard to a friendly troop, or reanimate a friendly Remnant",~,给予一个友方部队 +3 生命和先锋，或复生一个友方残骸。
Give +3 Health to a friendly unit,~,给予 1 个友方单位 +3 生命
"Give +3 Health to a friendly unit. If it's a Vehicle or Battlesuit, give it Long Range",~,给予 1 个友方单位 +3 生命。若其为载具或战斗服，给予其远射
Give +3 [Attack] and +1 Health to a friendly Infantry or Beast,~,给予一个友方步兵或野兽 +3[攻击] 和 +1 生命值。
"Give +3 [Attack], +3 [Armor] or +3 Health to a friendly troop",~,给予一个我方部队 +3 攻击、+3 护甲或 +3 生命
Give +3 [fist] to a friendly troop,~,给予一个友方部队 +3 拳头。
"Give +3 melee, +3 ranged and Invulnerable to a friendly unit until your next turn",~,给予一个我方单位 +3 近战、+3 远程与无敌，持续到你的下个回合
"Give +3 to a friendly unit this turn. If it's an Infantry, give it Flank as well",~,给予 1 个友方单位本回合 +3。若其为步兵，同时给予其侧翼
Give +3 to a friendly unit. Codex: Give it Armour 1 and heal 2 to it,~,给予 1 个友方单位 +3。典籍：给予它护甲 1，并治疗其 2 点。
Give +3 to your units this turn. Codex: Draw a card,~,本回合给予你的单位 +3。典籍：抽 1 张卡。
Give +4 Health to a friendly Vehicle,~,给予一个友方载具 +4 生命值。
Give +4 Melee Attack to a friendly unit,~,给予一个我方单位 +4 近战攻击
"Give +4 [Attack], +4 [Armour] and +4 Health to a friendly troop",~,给予 1 个友方部队 +4 攻击、+4 装甲和 +4 生命。
Give +4 to all friendly troops,~,给予所有友方部队 +4
Give +5 Ranged Attack to a friendly Battlesuit or Vehicle,~,给予 1 个友方战斗服或载具 +5 远程攻击
Give -1 Attack and -1 Armor to an enemy troop.,~,给予一个敌方部队 -1 攻击和 -1 护甲。
Give -2 [Attack] and -2 [Armor] to a random enemy troop,~,给予一个随机敌方部队 -2 攻击和 -2 护甲。
"Give -3 to an enemy troop. Then, if it has 0, destroy it",~,给予一个敌方部队 -3。然后，若其为 0，将其摧毁。
Give 1 to a friendly troop. Create a copy of Ahnakh-Yth Shrine in your hand,~,给予 1 个友方部队星镖 1。①在你的手牌中生成 1 张阿纳赫-伊斯圣殿的复制
Give 2 random Dark Pact to a friendly troop,~,给予一个我方部队 2 个随机黑暗契约
Give <i>Shuriken</i> 2 to a friendly unit this turn,~,本回合给予 1 个友方单位星镖 2
Give Armour 1 and +2 Health to a friendly troop,~,给予一个友方部队护甲 1 和 +2 生命。
Give Armour 1 and Camouflage to a friendly Infantry,~,给予 1 个友方步兵护甲 1 和伪装。
Give Armour 1 and Vanguard to a friendly unit until your next turn,~,给予 1 个友方单位护甲 1 和先锋，直到你的下个回合。
Give Armour 1 and heal 2 to your Vehicles,~,给予你的载具护甲 1，并治疗 2 点。
Give Armour 1 to a friendly troop,~,给予一个友方部队护甲 1。
Give Armour 1 to a friendly troop or Heal 4 to your Warlord.,~,给予 1 个友方部队护甲 1，或为你的督军治疗 4 点。
"Give Armour 1 to a friendly troop, and an additional Armour 1 for each Dark Pact on it",~,给予一个我方部队护甲 1，其上的每个黑暗契约再额外给予护甲 1
"Give Armour 1 to all your units. For the rest of this battle, your Warlords' Talent costs 1 less",~,给予你所有单位装甲 1。本场战斗剩余时间内：你的督军天赋费用减少 1 点。
"Give Armour 1 to your Warlord, plus +1 Health for each damaged enemy",~,给予你的督军护甲 1，并且每有一个受伤的敌人，你的督军额外获得 +1 生命值。
Give Armour 1 to your troops,~,给予你的部队护甲 1
Give Armour 2 and +1 Health to a friendly troop,~,给予 1 个友方部队护甲 2 和 +1 生命
Give Armour 2 to all friendly units until your next turn,~,给予所有我方单位护甲 2，持续到你的下个回合
Give Blast 1 to a friendly unit this turn,~,本回合给予一个友方单位爆裂 1。
Give Blast 2 to a friendly unit this turn,~,给予 1 个友方单位本回合爆裂 2
"Give Blast 3 to a friendly troop. If it is a Vehicle, give it Armour 1 as well",~,给予一个友方部队爆破 3。若其为载具，则同时给予其装甲 1。
Give Blast 3 to a friendly unit this turn. Codex: Give it +2 this turn as well,~,本回合给予 1 个友方单位爆裂 3。典籍：本回合额外给予它 +2。
Give Blast 3 to your units this turn,~,本回合给予你的单位爆裂 3。
Give Blood Thirst to a friendly Vehicle or +2 [attack] to another friendly troop,~,给予一个友方载具嗜血，或给予另一个友方部队 +2[攻击]。
Give Blood Thirst to a friendly unit this turn,~,给予 1 个友方单位本回合嗜血
Give Camouflage and Armour 1 to your troops,~,给予你的部队伪装和护甲 1。
Give Camouflage to a friendly unit,~,给予 1 个友方单位伪装
Give Camouflage to your troops,~,给予你的部队伪装。
Give Flank to a friendly troop,~,给予 1 个友方部队侧翼
Give Flank to a friendly troop or Stun an enemy troop,~,给予 1 个友方部队侧翼，或眩晕 1 个敌方部队
Give Flank to a friendly troop. Create a random Combat Elixir in your hand,~,给予一个友方部队侧翼。在你的手牌中生成一张随机战斗药剂。
"Give Flank to a friendly troop. If it is damaged, give it Blast 3 this turn",~,给予 1 个友方部队侧翼。若其受伤，本回合给予它爆裂 3
"Give Flank to a friendly troop. If it's a Vehicle, give it Vanguard as well",~,给予一个友方部队侧翼。如果它是载具，同时给予其先锋。
Give Flank to all your Infantry troops,~,给予你的所有步兵部队侧翼。
"Give Flank, +1 Attack and +1 Armor to a friendly troop.",~,给予 1 个友方部队侧翼、+1 攻击和 +1 装甲。
Give Hunt Mark to a random enemy troop,~,给予 1 个随机敌方部队猎杀标记。
Give Hunt Mark to a random enemy troop. Attack a random enemy with Hunt Mark.,~,给予 1 个随机敌方部队猎杀标记。攻击 1 个带猎杀标记的随机敌人。
Give Hunt Mark to all enemy troops,~,给予所有敌方部队猎杀标记。
Give Hunt Mark to an enemy troop. Draw a card,~,给予 1 个敌方部队猎杀标记。抽 1 张卡。
"Give Hunt Mark to an enemy troop. If it already had Hunt Mark, destroy it instead",~,给予 1 个敌方部队猎杀标记。若其已有猎杀标记，则改为摧毁它。
Give Invulnerable and +3 Attack to a friendly unit this turn,~,给予 1 个友方单位本回合无敌和 +3 攻击
"Give Invulnerable to a friendly troop this turn. Oath 8: Give it +8 attack, +8 health and +8 armor.",~,本回合给予 1 个友方部队无敌。誓言 8：给予它 +8 攻击、+8 生命和 +8 装甲。
Give Invulnerable to a friendly troop until your next turn,~,直到你的下回合，给予一个友方部队无敌。
Give Invulnerable to your Warlord until your next turn and give Vulnerable 2 to all enemy troops,~,让你的督军获得无敌，持续到你的下个回合，并给予所有敌方部队脆弱 2
Give Invulnerable to your troops this turn and trigger their Uprising abilities,~,本回合给予你的部队无敌，并触发它们的起义能力。
Give Long Range to all your units,~,给予你的所有单位远射
Give Markerlight 1 to an enemy,~,给予 1 个敌人标记光 1
Give Markerlight 1 to an enemy troop or +1 Ranged Attack this turn to a friendly unit,~,给予 1 个敌方部队标记光 1，或给予 1 个友方单位本回合 +1 远程攻击
Give Markerlight 2 to an enemy,~,给予 1 个敌人标记光 2
"Give Markerlight 2 to an enemy troop. If it already had Markerlight, destroy it instead",~,给予 1 个敌方部队标记光 2。若其已有标记光，改为将其摧毁
Give Pack to a friendly troop,~,给予 1 个友方部队兽群。
Give Sentry 1 to all friendly units. Oath 3: Create No Respite in your hand,~,给予所有友方单位哨戒 1。誓言 3：手牌生成 1 张不得喘息。
Give Shield and Vanguard to a friendly troop,~,给予 1 个友方部队护盾和先锋
Give Shield to a friendly unit,~,给予 1 个友方单位护盾。
Give Shield to a friendly unit. If the unit has Pray gain 1.,~,给予 1 个友方单位护盾。若该单位具有祈祷，获得 1 ☀。
Give Shield to a random friendly unit,~,给予 1 个随机友方单位护盾
Give Shield to your units. Each friendly unit that is Praying heals 3,~,给予你的单位护盾。每个正在祈祷的友方单位治疗 3 点生命
Give Shuriken 2 to a friendly unit,~,给予 1 个友方单位星镖 2
Give Shuriken 2 to your units this turn,~,本回合给予你的单位星镖 2
Give Stealth to a friendly troop,~,给予 1 个友方部队潜行
Give Stealth to a friendly troop.,~,给予 1 个友方部队潜行
Give Stealth to a friendly troop. Draw a card for each Dark Pact on it,~,给予一个我方部队潜行。其上的每个黑暗契约使你抽 1 张牌
"Give Stealth to a friendly troop. If it's a Vehicle, gain 1.",~,给予一个我方部队潜行。若其是载具，获得 1 点任务。
"Give Stealth to a random friendly Daemon. If you don't control any, draw a Daemon.",~,给予一个随机友方恶魔潜行。若你没有控制任何恶魔，抽一张恶魔。
Give Vanguard and Armour 3 to a friendly unit until your next turn,~,给予 1 个友方单位先锋和护甲 3，直到你的下个回合
"Give Vanguard to a friendly troop.
(1) Draw a card",~,"给予 1 个友方部队先锋。
①抽 1 张牌"
Give Vulnerable 1 to all enemies this turn,~,本回合给予所有敌人脆弱 1
Give Vulnerable 2 to all enemy troops,~,给予所有敌方部队易伤 2。
Give Vulnerable 2 to an enemy troop and adjacent troops,~,给予 1 个敌方部队及相邻部队脆弱 2
"Give Vulnerable 4 and ""Backlash: Your opponent gains 2"" to an enemy troop",~,给予一个敌方部队脆弱 4 与“反噬：你的对手获得 2 个骷髅头”
"Give Vulnerable 4 to an enemy troop. If it dies this turn, apply this effect to another random enemy troop",~,给予一个敌方部队脆弱 4。若其本回合死亡，将此效果施加于另一个随机敌方部队
Give [Invulnerable] Invulnerable to a friendly unit this turn. 6 [Energy]: Extend effect until your next turn,~,本回合给予 1 个友方单位 [无敌] 无敌。6 [能量]：将效果延长到你的下个回合
Give [Markerlight] Markerlight 2 to all enemy troops,~,给予所有敌方部队 [Markerlight] 标记光 2
Give [Shield] Shield to a friendly unit,~,给予 1 个友方单位 [Shield] 护盾
Give [Shield] to a friendly unit. Draw a card,~,给予 1 个友方单位护盾。抽 1 张卡。
"Give [Stomp] to a friendly unit. If it already has [Stomp], give it +2 [Attack] this turn instead",~,给予一个友方单位[践踏]。如果其已经拥有[践踏]，改为本回合给予其 +2[攻击]。
Give a Dark Pact of Excess to a friendly troop,~,给予一个友方部队纵欲黑暗契约。
"Give a Dark Pact of Excess to a friendly troop. If it's a Daemon, give it +2 Health as well",~,给予一个友方部队纵欲黑暗契约。若其为恶魔，另给予 +2 生命。
Give a Dark Pact of Excess to adjacent friendly troops,~,给予相邻友方部队纵欲黑暗契约。
Give a Dark Pact to a friendly troop,~,给予一个我方部队一个黑暗契约
Give a Kustom Job of your choice to a friendly Vehicle,~,给予一个友方载具一个由你选择的定制改装。
Give a [Chaos] Dark Pact to a friendly troop,~,给予一个我方部队一个混沌黑暗契约
Give a [Dark Pact] to all friendly troops,~,给予所有我方部队一个黑暗契约
Give a random Dark Pact to each friendly troop,~,给予每个我方部队一个随机黑暗契约
Give a random bonus to a friendly Vehicle,~,给予一个友方载具一个随机增益。
Give to a friendly troop Flank and 'Strike: Draw a card',~,给予一个友方部队侧翼和“猛击：抽一张牌”。
Give 🛡 Shield to a friendly unit. Gain 1 ☀.,~,给予 1 个友方单位 🛡护盾。获得 1 ☀。
Glittering Myriad Infractor,~,绚丽万千违规者
Gnarled and Rugged,~,皮糙肉厚
Godspear Warhead,~,神矛弹头
Goliath Rockgrinder,~,歌利亚碾石车
Goliath Truck,~,歌利亚卡车
Gorkanaut,~,高克机甲
Graceful Avoidance,~,灵巧规避
Grav Inhibitor Drone,~,重力抑制无人机
Greatest Deeds,~,丰功伟绩
Greatest Warboss,~,最伟大的战头目
Gretchin Mob,~,地精帮
Gretchin Tower,~,地精塔
Grey Hunter,~,灰猎手
Grey Hunter Pack Leader,~,灰猎手兽群首领
Grim Effigy,~,肃穆雕像
Grim Resolve,~,钢铁决心
Grisly Feast,~,血腥盛宴
Grizzled Skarboy,~,久经沙场的伤疤小子
Grot,~,地精
Grot Bomb,~,地精炸弹
Grot Orderly,~,地精勤务兵
Grot Tank,~,地精坦克
Grot on Bombsquig,~,炸弹猪上的地精
Grukk Face-Rippa,~,古鲁克·撕面者
Guardian Defender,~,防卫守护者
Guardian Drone,~,守护无人机
Guidance of the Saints,~,圣徒指引
Gun Drone,~,枪无人机
Gunwagon,~,炮战车
Haarken Worldclaimer,~,哈尔肯·夺世者
Hallowed Martyrs,~,圣洁殉道者
Halls of Legend,~,传奇殿堂
Hammerhead,~,锤头鲨
Hardened Biology,~,坚韧躯壳
Hardwired Destruction,~,硬接线毁灭
Harpy,~,鹰身女妖
Haruspex,~,内脏占卜者
Has Flying during your turn. Talent: Angel's Wrath,~,你的回合期间拥有飞行。天赋：天使之怒。
Havoc,~,破坏者
Havoc Champion,~,破坏者冠军
Heal 1 to a random friendly unit,~,为一个随机友方单位治疗 1 点。
Heal 1 to adjacent units. Talent: Exhortation of Rage,~,为相邻单位治疗 1 点。天赋：狂怒劝诫。
Heal 1 to your units and give them +1 Attack and +1 Armor this turn,~,为你的单位治疗 1，并使其本回合获得 +1 攻击和 +1 护甲。
Heal 2 to a friendly unit,~,治疗一个友方单位 2。
"Heal 2 to a friendly unit.
Gain (1)",~,"为一个我方单位治疗 2 点。
获得 1 点任务。"
Heal 2 to all your units and trigger their Regiment abilities,~,为你所有单位治疗 2 点，并触发其团能力。
Heal 3 to a friendly unit and give it +2 Melee Attack this turn,~,治疗友方单位 3 点，并给予其本回合 +2 近战攻击
Heal 3 to your units,~,为你的单位治疗 3 点。
Heal 4 to your Warlord,~,为你的督军治疗 4 点。
Heal 5 and give Camouflage to a friendly unit,~,为 1 个友方单位治疗 5 点生命并给予其伪装
"Heal 5 to a friendly unit. For each Dark Pact on it, deal 2 damage to a random enemy",~,为一个我方单位治疗 5 点。其上的每个黑暗契约，对随机一个敌人造成 2 点伤害
Heal 5 to your Warlord and give it +2 Melee Attack,~,为你的督军治疗 5 点，并给予其 +2 近战攻击。
Heals 1 to your Warlord and give it +1 [Attack] until your next turn,~,为你的督军治疗 1 点，并给予它 +1 攻击，直到你的下个回合。
Heavy Intercessor,~,重装仲裁者
Hektor Thenmann,~,赫克托·滕曼
Helbrute,~,地狱蛮兽
Heldrake,~,地狱飞龙
Heldrake Strike,~,地狱飞龙突袭
Helfire Outburst,~,地狱火爆发
Helfire Pit,~,地狱火坑
Helfire Torch,~,地狱火火炬
Heliotrophos,~,日光酮
Hellblaster,~,炼狱爆弹兵
Hellfire Pit,~,地狱火坑
Hellfire Torch,~,地狱火火炬
Helspear Assault,~,地狱之矛突击
Hemlock Wraithfighter,~,铁杉魂飞者
Hero of the Empire,~,帝国英雄
Hero's Respite,~,英雄的喘息
Hexmark Destroyer,~,六印毁灭者
Hidden Hunters,~,隐匿猎手
Hideous Mutation,~,恐怖变异
High Command,~,最高指挥部
High King of Fenris,~,芬里斯至高王
High Rune Priest,~,高阶符文祭司
Hive Commander,~,蜂巢指挥官
Hive Crone,~,蜂巢老妪
Hive Factory,~,蜂巢工厂
Hive Fleet Arrival,~,虫巢舰队降临
Hive Fleet Leviathan,~,蜂巢舰队利维坦
Hive Guard,~,蜂巢卫兵
Hive Tyrant,~,蜂巢暴君
Holy Fire,~,圣火
Homing Beacon,~,归航信标
Honour Guard,~,荣誉卫队
Honoured Ethereal,~,荣耀以太
Hordeslayer,~,灭群者
Hormagaunt,~,荷尔马根
Hornet,~,大黄蜂
Hornhelmz Boy,~,角盔小子
Hospitaller,~,医疗修女
Hosts of Chaos,~,混沌大军
Hosts of the Dead,~,亡者军团
Hound of Abaddon,~,阿巴顿猎犬
Howling Banshee,~,嚎叫女妖
Howling Banshee Exarch,~,嚎叫女妖长老
Hrolf the Ironhowl,~,铁嚎·赫罗尔夫
Hulking Aberrant,~,魁梧异形
Humanity's Shield,~,人类之盾
Hunt the Fallen,~,追猎堕落者
Hunta Rig,~,猎兽战车
Hunter's Guile,~,猎人诡计
Hunters Instincts,~,猎手本能
Hunters of Heretics,~,异端猎手
Hunting Wolf,~,猎狼
Hybrid Metamorph,~,变形混种
Hydra,~,九头蛇
Hymn of Battle,~,战斗圣歌
Hyper-adaptation,~,超速适应
Hyperlogical Strategist,~,超逻辑战略家
Icon of Excess Infractor,~,放纵圣像违规者
Idolatrous Despoilers,~,偶像崇拜掠夺者
"If you control no other troops, deploy a Necron Warrior",~,若你不控制其他部队，部署一个死灵战士。
"If you control no other troops, gain Flank",~,若你未控制其他部队，获得侧翼
Imagifier,~,圣像师
Immolator,~,焚化者
Immortal Beams,~,不朽光束
Immortal Pride,~,不朽之傲
Immortals Phalanx,~,不朽者方阵
Imperial Creed,~,帝国信条
Implacable Conqueror,~,无情征服者
Improvised Barricade,~,临时路障
Inceptor Sergeant,~,疾袭者军士
Incursor,~,渗透者
Indomitable Will,~,不屈意志
Indomitus Crusade,~,不屈远征
Inescapable Retribution,~,无法逃脱的惩罚
Infernal Gaze,~,地狱凝视
Infestation Node,~,侵染节点
Infinite Biomorphologies,~,无限生物形态
Infinity Circuit,~,无限回路
Infinity Circuit Overload,~,无限回路过载
Infractor,~,违规者
Infractor Obsessionist,~,违规者痴迷者
Inner Circle,~,内环
Inner Circle Companion,~,内环同伴
Inscrutable Cunning,~,莫测狡诈
Inspired Retribution,~,神启报复
Inspired to Greatness,~,伟业感召
Inspiring Legacy,~,激励传承
Inspiring Oratory,~,激励演说
Intercessor,~,仲裁者
Intercessor Sergeant,~,仲裁者军士
Internal Rivalry,~,内部纷争
Interrogator Chaplain,~,审讯牧师
Invictor Warsuit,~,无敌者机甲
Iron Priest,~,铁祭司
Iskandar Khayon,~,伊坎达尔·卡永
Jackal Outrider,~,胡狼骑兵
Jackal Scout,~,胡狼斥候
Jackal Specialist,~,胡狼专家
Jain Zar,~,杰因·扎尔
Jammed Communications,~,通讯干扰
Junith Eruita,~,朱妮丝·埃鲁伊塔
Kasrkin,~,卡斯金
Kauyon Tactics,~,考恩战术
Kelermorph,~,凯勒魔
Khorne,~,恐虐
Khorne Berzerker,~,恐虐狂战士
Kill Rig,~,杀戮战车
Killa Kan,~,杀戮罐
Knights of Macragge,~,马库拉格骑士
Kommando,~,敢死队
Konstrictus Tormentor,~,紧缚折磨者
Kroot Carnivore,~,克鲁特食肉者
Kroot Hound,~,克鲁特猎犬
Krootox Rampager,~,克鲁特狂暴兽
Krootox Rider,~,克鲁特骑手
Krump da Gitz,~,揍扁蠢货们！
Krumpaklaw,~,暴揍爪
Land Rider,~,兰德骑手
Land Speeder,~,兰德飞车
Land Speeder Vengeance,~,复仇者兰德飞车
Lead From the Front,~,身先士卒
Lead by Example,~,以身作则
Lead the Righteous,~,引领义人
Legacy of Vengeance,~,复仇遗产
Legendary Commandant,~,传奇司令官
Legendary Tenacity,~,传奇坚韧
Leman Russ,~,黎曼鲁斯
Leman Russ Vanquisher,~,黎曼鲁斯·歼灭者
Let Loose,~,释放
Leviathans Tendrils,~,利维坦触须
Lhaska Szenari,~,拉什卡·泽纳里
Lheorvine Ukris,~,莱奥尔文·乌克里斯
Lhykhis,~,莱基斯
Librarian,~,智库
Lictor,~,利克特
Lieutenant Calsius,~,卡尔修斯中尉
Lieutenant Titus,~,提图斯中尉
Lieutenant with Combi-Weapon,~,组合武器中尉
Light Cover,~,轻型掩体
Litany of Despair,~,绝望祷文
Living Icon,~,活体圣像
Living Lightning,~,活体闪电
Locus,~,洛克斯
Logan Grimnar,~,洛根·格里姆纳
Lokhust Destroyer,~,洛库斯特毁灭者
Lokhust Heavy Destroyer,~,洛库斯特重型毁灭者
Lokhust Lord,~,洛库斯特领主
Lone-spear,~,独矛
Long Fang,~,长牙
Long Range. Blast 3,~,远射。爆破 3。
Long Range. Companion 2: Gun Drone,~,远射。伴生 2：枪无人机
Long Range. Oath 1: Gain [eye icon] Stealth. Slay: Create a random Ultramarines card in hand.,~,远射。誓言 1：获得潜行。斩杀：手牌生成 1 张随机极限战士卡。
Longstrike,~,长袭者
Lord Commander,~,统帅
Lord Exultant,~,狂喜领主
Lord Kakophonist,~,刺耳者领主
Lord Kaphrael,~,卡弗拉尔领主
Lord Solar Leontus,~,太阳领主莱昂图斯
Lower cost by 2 every time a friendly unit triggers Synapse,~,每当友方单位触发突触时，费用 -2
Lower the cost of a friendly troop in hand by 1,~,使手牌中的一个友方部队费用减少 1 点。
Lower the cost of a random Infantry in your hand by 1,~,使你手牌中 1 个随机步兵的费用 -1。
Lower the cost of a random Infantry in your hand by 3,~,你手牌中的一个随机步兵费用 -3。
Lower the cost of all Vehicles in your hand and deck by 1. Draw a Vehicle from your deck,~,使你手牌和牌库中所有载具的费用 -1。从你的牌库抽 1 张载具。
Lower the cost of all cards in your hand by 2,~,使你手牌中所有卡的费用 -2。
Lower the cost of all troops in your deck by 2. Draw a troop,~,你卡组中所有部队牌的费用减少 2 点。抽一张部队牌。
Lucius The Eternal,~,永恒卢修斯
Lychguard,~,圣卫兵
Lying in Wait,~,伺机而动
Maelon Dhrost,~,梅隆·德罗斯特
Magus Uthrel Naas,~,大导师乌斯雷尔·纳斯
Makari the Grot,~,地精马卡里
Make a damaged friendly unit attack by itself,~,使一个受伤的我方单位自行攻击
Maleceptor,~,灵能受体兽
Malgarash the Adamant,~,马尔加拉什·坚毅者
Malicious Volleys,~,恶毒齐射
Manticore,~,曼提柯尔
March of Vengeance,~,复仇进军
Marker Drone,~,标记无人机
Marneus Calgar,~,马涅乌斯·卡尔加
Martial Superiority,~,武力优势
Master Chronomancer,~,时相大师
Master Interromancer,~,审讯大师
Master Lazarus,~,拉撒路大师
Master Outrider,~,骑术大师
Master Tactician,~,战术大师
Master Zacharial,~,扎卡里尔大师
Master of Arcana,~,秘法大师
Master of Arms,~,兵械大师
Master of Battle,~,战斗大师
Master of Executions,~,处刑大师
Master of Manoeuvre,~,机动大师
Master of Ordnance,~,军械大师
Master of Possession,~,附魔大师
Master of Repentance,~,忏悔大师
Master of the Deathwing,~,死翼大师
Master of the Fleet,~,舰队大师
Maulerfiend,~,蹂躏魔
Mawloc,~,巨口虫
Mechanised Infantry,~,机械化步兵
