效果名	分组	判定	亮度比中位	|ln|	置信度	峰值亮点	原版有内容时段	导出有内容时段	寿命差异	单帧旧判定	单帧L1	技术构成	人工备注
Buff EC Pink Twirl	E	偏亮（导出更亮/更密）	1.79	0.585	高	1446	0.15–3.00s	0.15–3.00s		对得上	0.0051	精灵图 多发射器(12) Sprite	
UM_Buff	E	偏亮（导出更亮/更密）	1.82	0.596	高	2921	0.75–1.50s	0.75–1.50s		对得上	0.0030	Mesh粒子 精灵图 6发射器 Sprite	
Teleport Trigger Effect Quick	E	偏亮（导出更亮/更密）	1.86	0.622	高	2769	0.15–2.00s	0.15–2.00s		对得上	0.0029	精灵图 7发射器	
DutyEffect	E	偏亮（导出更亮/更密）	1.94	0.663	高	1090	0.30–1.00s	0.30–1.00s		偏亮	0.0057	Mesh粒子 精灵图 6发射器 Sprite	
BulletImpact_deathspinner_arc_alt	E	偏亮（导出更亮/更密）	1.94	0.663	高	1140	0.15–3.00s	0.15–3.00s		两边都空	0.0000	精灵图 多发射器(24) 拖尾	
Psychic_Lightning_blast	E	偏亮（导出更亮/更密）	1.95	0.666	高	3381	0.15–0.50s	0.15–0.50s		两边都空	0.0000	精灵图 5发射器	
BloodThirstEffect_Gain	E	偏亮（导出更亮/更密）	1.95	0.666	高	1189	0.15–1.50s	0.15–1.50s		对得上	0.0004	Mesh粒子 精灵图 多发射器(8) Sprite	
Cosmic Serpent	E	偏亮（导出更亮/更密）	1.96	0.672	高	909	0.15–3.00s	0.15–3.00s		对得上	0.0028	Mesh粒子 精灵图 多发射器(12)	
Cosmic Serpent_Secondary	E	偏亮（导出更亮/更密）	1.96	0.672	高	909	0.15–3.00s	0.15–3.00s		偏亮	0.0028	Mesh粒子 精灵图 多发射器(12)	
Pray_Exit	E	偏亮（导出更亮/更密）	1.97	0.677	高	629	0.15–2.00s	0.15–2.00s		偏亮	0.0023	精灵图 多发射器(8)	
BulletImpact_Sonic Weapon 1	E	偏亮（导出更亮/更密）	2.02	0.704	高	1012	0.75–1.50s	0.75–1.50s		偏亮	0.0049	Mesh粒子 精灵图 多发射器(25) 抓屏扭曲	
Psychic_Lightning_warlord_chaos	E	偏亮（导出更亮/更密）	2.05	0.718	高	1596	0.15–0.30s	0.15–0.50s	导出多播到 0.50s	两边都空	0.0000	精灵图 5发射器	
BloodThirstEffect	E	偏亮（导出更亮/更密）	2.09	0.738	高	885	0.15–1.00s	0.15–1.00s		偏亮	0.0004	Mesh粒子 精灵图 7发射器 Sprite	
Environmental Condition Necrons Earthquake	E	偏亮（导出更亮/更密）	2.12	0.749	高	563	0.15–3.00s	0.15–3.00s		对得上	0.0013	Mesh粒子 精灵图 多发射器(57) Matcap/Sprite	
BloodThirstEffect_Idle	E	偏亮（导出更亮/更密）	2.13	0.758	高	5676	1.00–3.00s	1.00–3.00s		偏暗	0.0042	精灵图 4发射器 Sprite	
StunEffect	E	偏亮（导出更亮/更密）	2.18	0.778	高	1198	0.15–3.00s	0.15–3.00s		偏亮	0.0018	精灵图 7发射器	
Buff EC On Warlord When Creating Card	E	偏亮（导出更亮/更密）	2.18	0.778	高	678	0.15–3.00s	0.15–3.00s		对得上	0.0015	精灵图 多发射器(11) Sprite	
Sau_DamageProtocol_OLD	E	偏亮（导出更亮/更密）	2.21	0.794	高	1986	0.30–1.00s	0.75–1.00s		对得上	0.0000	Mesh粒子 精灵图 7发射器	
Psychic_Lightning_warlord_OLD	E	偏亮（导出更亮/更密）	2.22	0.797	高	1333	0.15–0.50s	0.15–0.50s		两边都空	0.0000	精灵图 5发射器	
Sau_DamageProtocol	E	偏亮（导出更亮/更密）	2.23	0.802	高	2881	0.30–1.00s	0.75–1.00s		对得上	0.0002	Mesh粒子 精灵图 多发射器(10)	
Hive Fleet Ground Growth	E	偏亮（导出更亮/更密）	2.23	0.804	高	1630	0.15–1.50s	0.15–1.50s		对得上	0.0006	精灵图 多发射器(11)	
Buff EC Pink Twirl Intense	E	偏亮（导出更亮/更密）	2.33	0.847	高	1341	0.15–3.00s	0.15–3.00s		对得上	0.0020	精灵图 多发射器(14) Sprite	
Sau_Dimensional_Breach_Spawn	E	偏亮（导出更亮/更密）	2.37	0.861	高	3993	0.15–1.50s	0.15–1.50s		对得上	0.0039	精灵图 多发射器(9) 拖尾	
LongRange_LoseTrait	E	偏亮（导出更亮/更密）	2.38	0.866	高	1053	2.00–3.00s	2.00–3.00s		两边都空	0.0000	精灵图 5发射器	
CamouflageEffect	E	偏亮（导出更亮/更密）	2.41	0.879	高	2548	0.15–3.00s	0.15–3.00s		偏暗	0.0133	精灵图 2发射器 Sprite	
UM_AvengingSon	E	偏亮（导出更亮/更密）	2.68	0.987	高	546	1.50–3.00s	1.50–3.00s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(10)	
Artillery Ground	E	偏亮（导出更亮/更密）	2.75	1.011	高	1080	1.00–1.00s	1.00–1.00s		偏亮	0.0009	Mesh粒子 精灵图 多发射器(13)	
Recall_Eldar	E	偏亮（导出更亮/更密）	2.89	1.060	高	7934	0.15–2.00s	0.15–2.00s		对得上	0.0033	Mesh粒子 精灵图 7发射器	
Recall_Eldar_2	E	偏亮（导出更亮/更密）	2.94	1.078	高	3617	0.30–2.00s	0.30–2.00s		对得上	0.0043	精灵图 多发射器(10)	
ToxicMiasma_Board	E	偏亮（导出更亮/更密）	3.11	1.136	高	4460	0.50–3.00s	0.50–3.00s		对得上	0.0009	精灵图 3发射器	
ToxicMiasma_Venomthrope	E	偏亮（导出更亮/更密）	3.13	1.140	高	4963	0.15–3.00s	0.15–3.00s		对得上	0.0013	精灵图 2发射器	
Psychic_Lightning_Genestealer_Benefictus	E	偏亮（导出更亮/更密）	3.25	1.178	高	573	0.15–1.50s	0.15–1.50s		对得上	0.0009	精灵图 多发射器(14) 抓屏扭曲	
Sau_HealProtocol_OLD	E	偏亮（导出更亮/更密）	3.33	1.204	高	1679	0.15–1.00s	0.75–1.00s		对得上	0.0001	Mesh粒子 精灵图 7发射器	
Buff_Eldar_Warp Spider	E	偏亮（导出更亮/更密）	3.34	1.206	高	1051	0.15–1.00s	0.15–1.00s		对得上	0.0003	精灵图 多发射器(11)	
Vortex Warhead Impact	E	偏亮（导出更亮/更密）	3.37	1.215	高	1075	0.15–0.30s	0.15–0.30s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(13) Matcap/抓屏扭曲	
Delightful_Agonies_Projectile	E	偏亮（导出更亮/更密）	3.39	1.221	高	1386	0.15–1.50s	0.15–1.50s		对得上	0.0041	精灵图 多发射器(9)	
FrenziedEffect	E	偏亮（导出更亮/更密）	3.46	1.242	高	1759	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 3发射器 Sprite	
Protocol Base	E	偏亮（导出更亮/更密）	3.48	1.248	高	615	0.30–2.00s	1.50–2.00s		对得上	0.0001	Mesh粒子 精灵图 6发射器	
BlueSummonCircle	E	偏亮（导出更亮/更密）	3.50	1.254	高	3857	0.15–2.00s	0.15–2.00s		对得上	0.0032	Mesh粒子 精灵图 7发射器	
SlayEffect	E	偏亮（导出更亮/更密）	3.60	1.281	高	1836	0.15–1.00s	0.15–1.00s		对得上	0.0005	精灵图 多发射器(9) Sprite	
Lightning_Green	E	偏亮（导出更亮/更密）	3.63	1.289	高	4586	0.15–3.00s	0.15–3.00s		偏亮	0.0052	精灵图 6发射器 Sprite	
Recall_Eldar_2_reverse	E	偏亮（导出更亮/更密）	3.66	1.298	高	1595	0.15–1.00s	0.15–1.50s	导出多播到 1.50s	对得上	0.0011	精灵图 多发射器(10)	
Possession_self	E	偏亮（导出更亮/更密）	3.68	1.304	高	2285	0.50–2.00s	0.30–2.00s		偏亮	0.0006	精灵图 多发射器(10)	
Psychic_Lightning_down	E	偏亮（导出更亮/更密）	3.82	1.341	高	1094	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 多发射器(9)	
StunEffect_idle	E	偏亮（导出更亮/更密）	3.92	1.366	高	2448	0.15–3.00s	0.15–3.00s		偏亮	0.0131	精灵图 5发射器	
Sau_DamageProtocol_Quick	E	偏亮（导出更亮/更密）	4.01	1.389	高	7404	0.15–0.75s	0.15–0.75s		偏亮	0.0000	精灵图 7发射器	
Buff_Mana_Blood	E	偏亮（导出更亮/更密）	4.44	1.491	高	954	0.30–1.00s	0.15–1.00s		对得上	0.0034	精灵图 5发射器	
WhileInPlay_Nurgle	E	偏亮（导出更亮/更密）	4.47	1.498	高	1454	0.50–3.00s	0.30–3.00s		对得上	0.0005	精灵图 7发射器	
Psychic_Lightning_down_Intense_white	E	偏亮（导出更亮/更密）	4.60	1.527	高	888	0.15–1.00s	0.15–1.00s		两边都空	0.0000	精灵图 多发射器(13)	
Recall_Eldar_2_quick_ground	E	偏亮（导出更亮/更密）	4.81	1.570	高	1580	0.30–1.50s	0.15–1.50s		对得上	0.0029	Mesh粒子 精灵图 多发射器(11) Matcap	
Hammer_Slam_SW	E	偏亮（导出更亮/更密）	5.07	1.623	高	1144	0.15–1.00s	0.15–2.00s	导出多播到 2.00s	对得上	0.0006	Mesh粒子 精灵图 多发射器(18) 抓屏扭曲	
Recall_Eldar_2_quick_UI	E	偏亮（导出更亮/更密）	5.11	1.632	高	3348	0.15–1.50s	0.15–1.50s		对得上	0.0028	精灵图 多发射器(8)	
Recall_Eldar_2_quick	E	偏亮（导出更亮/更密）	5.15	1.639	高	3404	0.15–1.50s	0.15–1.50s		对得上	0.0030	精灵图 多发射器(8)	
MarkOfNurgle_enchantment	E	偏亮（导出更亮/更密）	5.27	1.662	高	2862	1.50–3.00s	1.50–3.00s		两边都空	0.0000	精灵图 4发射器	
Lightning burst webway	E	偏亮（导出更亮/更密）	5.28	1.664	高	913	0.15–2.00s	0.15–3.00s	导出多播到 3.00s	偏亮	0.0025	精灵图 5发射器	
MarkOfTzeentch_enchantment	E	偏亮（导出更亮/更密）	5.30	1.669	高	1076	2.00–3.00s	1.50–3.00s		偏亮	0.0003	精灵图 2发射器	
Recall_Eldar_2_quick_ground_warlord	E	偏亮（导出更亮/更密）	5.35	1.677	高	2003	0.30–1.50s	0.15–1.50s		对得上	0.0017	Mesh粒子 精灵图 多发射器(11) Matcap	
Healing_Circles	E	偏亮（导出更亮/更密）	6.79	1.916	高	955	0.30–1.50s	0.30–1.50s		偏亮	0.0005	精灵图 4发射器	
Buff_Mana_3 Holy	E	偏亮（导出更亮/更密）	7.88	2.064	高	2683	0.15–1.00s	0.15–1.00s		对得上	0.0151	精灵图 4发射器	
Buff_Mana_2	E	偏亮（导出更亮/更密）	8.74	2.168	高	2598	0.15–1.00s	0.15–1.00s		偏亮	0.0117	精灵图 4发射器	
Buff_Mana	E	偏亮（导出更亮/更密）	9.25	2.224	高	6413	0.15–1.00s	0.15–1.00s		偏亮	0.0288	精灵图 4发射器	
BulletImpact_DeathSpinner Test	E	偏亮（导出更亮/更密）	9.28	2.228	高	1547	0.15–3.00s	0.15–3.00s		偏亮	0.0173	精灵图 多发射器(13) 拖尾	
RemnantBody3D Aeldari	E	偏亮（导出更亮/更密）	13.42	2.597	高	735	0.15–3.00s	0.15–3.00s		偏亮	0.6669	精灵图 多发射器(21) Sprite/抓屏扭曲/拖尾	
ScytheAssault	E	偏暗（导出更暗/更稀）	0.31	1.163	中	296	0.15–1.00s	0.15–1.00s		对得上	0.0014	精灵图 多发射器(25)	
BulletImpact_Sonic Weapon 1 Dual Pistol	E	偏暗（导出更暗/更稀）	0.32	1.137	中	345	0.75–1.50s	0.75–1.50s		偏亮	0.0019	Mesh粒子 精灵图 多发射器(50) 抓屏扭曲	
BulletImpact_Sonic Weapon 2 Twinlink	E	偏暗（导出更暗/更稀）	0.38	0.968	中	214	0.75–1.50s	0.75–2.00s	导出多播到 2.00s	偏亮	0.0009	Mesh粒子 精灵图 多发射器(38) 抓屏扭曲	
Buff_BL_Intense	E	偏暗（导出更暗/更稀）	0.46	0.779	中	438	0.15–1.00s	0.15–1.00s		对得上	0.0002	精灵图 多发射器(10)	
Swarm_Trigger_OnTarget	E	偏暗（导出更暗/更稀）	0.50	0.688	中	263	0.15–1.00s	0.30–1.00s		对得上	0.0004	精灵图 4发射器	
Buff_Sautekh_Intense	E	偏暗（导出更暗/更稀）	0.52	0.656	中	439	0.75–1.00s	0.75–1.00s		对得上	0.0004	精灵图 多发射器(9)	
InvulnerableEffectGSC	E	偏暗（导出更暗/更稀）	0.53	0.639	中	270	0.15–2.00s	0.15–1.50s	导出提前 2.00s 结束	对得上	0.0006	精灵图 7发射器 Sprite	
Buff_Tau_Intense	E	偏暗（导出更暗/更稀）	0.57	0.564	中	441	0.15–0.75s	0.15–0.75s		对得上	0.0002	精灵图 多发射器(8)	
Buff_Purple	E	偏暗（导出更暗/更稀）	0.58	0.547	中	454	0.15–0.75s	0.15–0.75s		对得上	0.0001	精灵图 5发射器	
UnstableEffect	E	偏暗（导出更暗/更稀）	0.59	0.527	中	357	0.15–2.00s	0.15–2.00s		对得上	0.0012	精灵图 多发射器(19) Sprite/抓屏扭曲	
MarkerlightSource	E	偏暗（导出更暗/更稀）	0.60	0.509	中	422	0.15–1.50s	0.15–1.50s		对得上	0.0000	精灵图 多发射器(8) Sprite	
Sororitas_Divine Intervention_Target	E	偏暗（导出更暗/更稀）	0.61	0.497	中	389	0.15–3.00s	0.15–3.00s		对得上	0.0009	精灵图 多发射器(16) 抓屏扭曲	
Tau Buff Ranged	E	偏暗（导出更暗/更稀）	0.61	0.493	中	208	1.50–1.50s	1.50–1.50s		对得上	0.0006	精灵图 多发射器(19) Sprite	
BulletImpact_Sonic Weapon 2 Pistol	E	偏暗（导出更暗/更稀）	0.61	0.489	中	227	0.30–1.00s	0.30–1.50s	导出多播到 1.50s	偏亮	0.0003	Mesh粒子 精灵图 多发射器(27) 抓屏扭曲	
InvulnerableEffectTau	E	偏暗（导出更暗/更稀）	0.62	0.485	中	274	0.15–2.00s	0.15–1.50s	导出提前 2.00s 结束	对得上	0.0005	精灵图 6发射器 Sprite	
InvulnerableEffectTyranid	E	偏暗（导出更暗/更稀）	0.62	0.481	中	274	0.15–2.00s	0.15–1.50s	导出提前 2.00s 结束	对得上	0.0004	精灵图 6发射器 Sprite	
BulletImpact_Sonic Weapon 1 Dual Pistol OLD	E	偏暗（导出更暗/更稀）	0.64	0.439	中	362	0.75–1.50s	0.75–1.50s		对得上	0.0015	Mesh粒子 精灵图 多发射器(50) 抓屏扭曲	
BulletImpact_Sonic Weapon 2	E	偏暗（导出更暗/更稀）	0.66	0.417	中	263	0.75–1.50s	0.75–2.00s	导出多播到 2.00s	偏亮	0.0014	Mesh粒子 精灵图 多发射器(25) 抓屏扭曲	
MobEffect	E	偏暗（导出更暗/更稀）	0.67	0.395	中	415	0.30–1.00s	0.30–1.00s		偏暗	0.0003	Mesh粒子 精灵图 7发射器 Sprite	
Scream_SW_Ragnar	E	偏暗（导出更暗/更稀）	0.67	0.393	中	321	0.30–2.00s	0.30–2.00s		对得上	0.0009	Mesh粒子 精灵图 7发射器 Matcap/抓屏扭曲	
HuntMark_IdleEffect	E	偏亮（导出更亮/更密）	1.44	0.366	中	278	0.50–3.00s	0.50–3.00s		对得上	0.0003	精灵图 多发射器(10) Sprite/UI/文字	
Psychic_Lightning_Red	E	偏亮（导出更亮/更密）	1.52	0.419	中	325	0.15–0.50s	0.15–0.50s		只有导出有	0.0004	精灵图 多发射器(9)	
Trait_GainQuest	E	偏亮（导出更亮/更密）	1.56	0.446	中	275	1.00–1.00s	1.00–1.50s	导出多播到 1.50s	偏暗	0.0009	精灵图 多发射器(8) Sprite	
RallyEffect	E	偏亮（导出更亮/更密）	1.58	0.456	中	277	0.15–0.75s	0.15–0.75s		两边都空	0.0000	Mesh粒子 精灵图 6发射器 Sprite	
Artillery Manticore down 4x	E	偏亮（导出更亮/更密）	1.58	0.460	中	306	0.30–0.75s	0.15–0.75s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(56) Matcap/抓屏扭曲	
UM_MasterOfArcanaEffect	E	偏亮（导出更亮/更密）	1.60	0.472	中	388	0.30–0.75s	0.30–1.00s	导出多播到 1.00s	偏暗	0.0001	Mesh粒子 精灵图 多发射器(16) Sprite	
Buff_Green_DA	E	偏亮（导出更亮/更密）	1.64	0.497	中	396	0.15–1.00s	0.15–1.00s		偏亮	0.0010	精灵图 多发射器(9)	
Offensive_Thunderstorm Target	E	偏亮（导出更亮/更密）	1.66	0.505	中	459	0.15–0.50s	0.15–0.50s		偏亮	0.0000	精灵图 多发射器(12)	
BulletImpact_Tyranid_Cannon	E	偏亮（导出更亮/更密）	1.69	0.528	中	321	0.75–0.75s	0.75–0.75s		对得上	0.0000	Mesh粒子 精灵图 多发射器(17) 抓屏扭曲/拖尾	
BulletImpact_Spore Launch 1	E	偏亮（导出更亮/更密）	1.82	0.598	中	455	0.15–0.75s	0.15–1.50s	导出多播到 1.50s	对得上	0.0011	Mesh粒子 精灵图 多发射器(19) Matcap/抓屏扭曲	
BulletImpact_Spore Launch	E	偏亮（导出更亮/更密）	1.83	0.607	中	455	0.15–0.75s	0.15–1.50s	导出多播到 1.50s	对得上	0.0011	Mesh粒子 精灵图 多发射器(19) Matcap/抓屏扭曲	
Oath_Effect	E	偏亮（导出更亮/更密）	1.92	0.652	中	254	0.15–1.00s	0.15–1.00s		偏亮	0.0003	精灵图 多发射器(8) UI/文字	
BulletImpact_AcidSpit	E	偏亮（导出更亮/更密）	2.01	0.700	中	291	0.15–1.00s	0.15–1.00s		偏亮	0.0008	精灵图 多发射器(11)	
BolterSweep_2	E	偏亮（导出更亮/更密）	2.09	0.737	中	304	0.15–2.00s	0.15–2.00s		对得上	0.0031	Mesh粒子 精灵图 多发射器(13) Matcap	
BulletImpact_Rippergun	E	偏亮（导出更亮/更密）	2.16	0.770	中	255	0.15–0.30s	0.15–0.50s	导出多播到 0.50s	两边都空	0.0000	Mesh粒子 精灵图 多发射器(15) Matcap	
UM_CardDraw	E	偏亮（导出更亮/更密）	2.17	0.773	中	315	0.30–1.00s	0.15–1.00s		偏亮	0.0001	精灵图 5发射器 Sprite	
SAU_CardDraw	E	偏亮（导出更亮/更密）	2.39	0.872	中	315	0.50–1.00s	0.30–1.00s		偏亮	0.0003	精灵图 5发射器 Sprite	
Buff EC Stimulate	E	偏亮（导出更亮/更密）	2.40	0.876	中	451	0.15–2.00s	0.15–2.00s		对得上	0.0210	精灵图 多发射器(10) Sprite	
Buff_Green_Agenda	E	偏亮（导出更亮/更密）	2.71	0.996	中	398	0.15–0.75s	0.15–1.00s	导出多播到 1.00s	只有导出有	0.0004	精灵图 多发射器(9)	
Solar Beam Target	E	偏亮（导出更亮/更密）	2.86	1.051	中	278	0.50–1.50s	0.15–1.50s		偏亮	0.0005	精灵图 7发射器	
Relentless Fusillade	E	偏亮（导出更亮/更密）	2.97	1.087	中	407	0.15–1.00s	0.15–1.00s		偏亮	0.0007	精灵图 多发射器(33)	
Pulse Onslaught	E	偏亮（导出更亮/更密）	2.97	1.089	中	227	0.30–0.75s	0.15–1.00s	导出多播到 1.00s	偏亮	0.0011	精灵图 多发射器(17)	
Tau Coordinated Engagement	E	偏亮（导出更亮/更密）	3.26	1.181	中	238	1.50–1.50s	1.50–1.50s		对得上	0.0000	精灵图 多发射器(19) 抓屏扭曲	
WhileInPlay_Tzeentch	E	偏亮（导出更亮/更密）	3.90	1.362	中	396	0.15–2.00s	0.15–3.00s	导出多播到 3.00s	对得上	0.0007	精灵图 4发射器	
Factory Overdrive Damage	E	偏亮（导出更亮/更密）	4.55	1.515	中	238	0.15–0.50s	0.15–0.75s	导出多播到 0.75s	两边都空	0.0000	Mesh粒子 精灵图 多发射器(10) Sprite	
Psychic_Lightning_down_Waaagh_Green	E	偏亮（导出更亮/更密）	5.83	1.762	中	453	0.15–0.30s	0.15–1.00s	导出多播到 1.00s	只有导出有	0.0015	精灵图 多发射器(13)	
Earthquake Rockfall Board	E	偏暗（导出更暗/更稀）	0.00		低	72	0.75–0.75s	0.50–2.00s	导出多播到 2.00s	对得上	0.0008	Mesh粒子 精灵图 多发射器(9) Matcap	
Earthquake Rockfall Target	E	偏暗（导出更暗/更稀）	0.01	4.357	低	127	0.15–1.00s	0.15–1.00s		对得上	0.0002	Mesh粒子 精灵图 多发射器(8) Matcap	
Will Of Gork	E	偏暗（导出更暗/更稀）	0.37	0.986	低	112	3.00–3.00s	3.00–3.00s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(22) Matcap/抓屏扭曲	
CreateCard DA	E	偏暗（导出更暗/更稀）	0.56	0.575	低	118	1.00–2.00s	0.50–2.00s		偏亮	0.0004	精灵图 多发射器(12) 拖尾	
EC Sword Cut Board DMC Style	E	偏暗（导出更暗/更稀）	0.63	0.455	低	187	1.50–3.00s	1.50–3.00s		对得上	0.0012	精灵图 1发射器 拖尾	
BulletImpact_tank_baneblade	E	偏暗（导出更暗/更稀）	0.64	0.452	低	196	0.15–0.30s	0.15–0.15s	导出提前 0.30s 结束	两边都空	0.0000	Mesh粒子 精灵图 多发射器(22) Matcap/抓屏扭曲	
BulletImpact_tank_huge	E	偏暗（导出更暗/更稀）	0.64	0.452	低	196	0.15–0.30s	0.15–0.15s	导出提前 0.30s 结束	两边都空	0.0000	Mesh粒子 精灵图 多发射器(17) Matcap/抓屏扭曲	
BulletImpact_tank_big	E	偏暗（导出更暗/更稀）	0.65	0.429	低	196	0.15–0.30s	0.15–0.15s	导出提前 0.30s 结束	两边都空	0.0000	Mesh粒子 精灵图 多发射器(16) Matcap/抓屏扭曲	
Necron_Regenerate	E	偏暗（导出更暗/更稀）	0.66	0.421	低	61	0.75–2.00s	0.75–2.00s		对得上	0.0002	精灵图 多发射器(31) Sprite	
MegaBlasta	E	偏亮（导出更亮/更密）	1.42	0.353	低	97	0.15–0.50s	0.15–0.50s		只有导出有	0.0002	精灵图 多发射器(23)	
BulletImpact_autogun_Shotgun	E	偏亮（导出更亮/更密）	1.44	0.366	低	147	0.15–0.75s	0.15–0.75s		两边都空	0.0000	精灵图 多发射器(16)	
BulletImpact_Ork Missiles 1	E	偏亮（导出更亮/更密）	1.48	0.394	低	79	0.15–0.15s	0.15–0.15s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(24)	
Basic_army_UM_Pre-Effect	E	偏亮（导出更亮/更密）	1.49	0.398	低	179	0.50–1.50s	0.50–1.50s		对得上	0.0006	精灵图 6发射器	
Recon Scan Purple	E	偏亮（导出更亮/更密）	1.52	0.418	低	162	0.15–1.00s	0.15–1.00s		偏亮	0.0000	精灵图 6发射器 Sprite	
Artillery Manticore down 1x	E	偏亮（导出更亮/更密）	1.52	0.420	低	92	0.15–0.50s	0.15–0.50s		两边都空	0.0000	Mesh粒子 精灵图 多发射器(14) Matcap/抓屏扭曲	
BulletImpact_DesolationMissile_AOE	E	偏亮（导出更亮/更密）	1.56	0.445	低	118	0.15–1.00s	0.15–1.50s	导出多播到 1.50s	对得上	0.0003	Mesh粒子 精灵图 多发射器(46) Matcap	
BulletImpact_Abaddon_AA_StormBolter	E	偏亮（导出更亮/更密）	1.69	0.525	低	89	0.30–0.75s	0.15–0.75s		对得上	0.0001	Mesh粒子 精灵图 多发射器(48) Matcap	
BulletImpact_2shot_autocannon	E	偏亮（导出更亮/更密）	1.71	0.539	低	126	0.15–0.30s	0.15–0.50s	导出多播到 0.50s	对得上	0.0001	Mesh粒子 精灵图 多发射器(30) Matcap	
BulletImpact_Ghazghkull_AA	E	偏亮（导出更亮/更密）	1.79	0.585	低	132	0.30–0.75s	0.15–1.00s	导出多播到 1.00s	对得上	0.0001	Mesh粒子 精灵图 多发射器(46) Matcap	
BulletImpact_artillery_manticore	E	偏亮（导出更亮/更密）	1.93	0.660	低	116	0.30–2.00s	0.50–2.00s		偏亮	0.0011	Mesh粒子 精灵图 多发射器(72) Matcap/抓屏扭曲	
Relentless Fusillade sniper	E	偏亮（导出更亮/更密）	2.06	0.721	低	106	0.30–0.30s	0.15–0.30s		两边都空	0.0000	精灵图 多发射器(37) 抓屏扭曲	
AcidSpraySweepAttack	E	偏亮（导出更亮/更密）	2.15	0.766	低	119	0.30–3.00s	0.30–3.00s		偏亮	0.0003	精灵图 多发射器(13) Sprite	
BulletImpact_Webber	E	偏亮（导出更亮/更密）	2.30	0.832	低	100	0.30–0.50s	0.15–0.50s		两边都空	0.0000	精灵图 多发射器(12)	
EnvironmentalCondition Saim Hann Webway Rift	E	偏亮（导出更亮/更密）	2.53	0.928	低	140	3.00–3.00s	2.00–3.00s		偏亮	0.0002	精灵图 多发射器(55)	
HuntMark_StartEffect	E	偏亮（导出更亮/更密）	2.93	1.076	低	151	1.00–1.50s	1.00–1.50s		对得上	0.0002	精灵图 多发射器(14) Sprite	
Buff_SW_Runes 1	E	偏亮（导出更亮/更密）	4.95	1.600	低	111	0.15–0.30s	0.15–0.30s		偏暗	0.0003	精灵图 7发射器	
Armor_Necron	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	58	—	—		对得上	0.0000	精灵图 多发射器(31) Sprite	
Atk_BulletImpact_Vox-pulse	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	38	—	—		两边都空	0.0000	精灵图 多发射器(10) 抓屏扭曲	
Atk_BulletImpact_Vox-pulse digital	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	38	—	—		两边都空	0.0000	精灵图 多发射器(10) 抓屏扭曲	
Atk_BulletImpact_Vox-pulse purple	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	43	—	—		两边都空	0.0000	精灵图 多发射器(10) 抓屏扭曲	
Atk_ChemVial_2	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	18	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(12) Matcap/拖尾	
AttackHitSmall	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	23	—	—		两边都空	0.0000	精灵图 5发射器	
AttackSquigEffect	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	42	—	—		两边都空	0.0000	Mesh粒子 精灵图 多发射器(9) Matcap	
Aura_WhileInPlay_1	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		只有导出有	0.0001	精灵图 6发射器	
Backstab Dagger	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	24	—	—		只有原版有	0.0000	Mesh粒子 精灵图 多发射器(11) Matcap/抓屏扭曲	
Blacksword_Missile_offscreen	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	20	—	—		偏亮	0.0002	Mesh粒子 精灵图 多发射器(27) Matcap/抓屏扭曲	
Blast_Big_Ork	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	50	—	—		对得上	0.0001	Mesh粒子 精灵图 多发射器(16) Matcap	
Blast_Big_Ork_Missiles	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	49	—	—		对得上	0.0001	Mesh粒子 精灵图 多发射器(43) Matcap	
Blast_Plasma	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	28	—	—		对得上	0.0000	精灵图 多发射器(21) 抓屏扭曲	
Blast_Plasma_Helbrute	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	41	—	—		对得上	0.0000	精灵图 多发射器(25) 抓屏扭曲	
Blast_Plasma_MegaBlasta	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	32	—	—		对得上	0.0000	精灵图 多发射器(31) 抓屏扭曲	
Blast_Plasma_Sentinel	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	52	—	—		对得上	0.0001	精灵图 多发射器(25) 抓屏扭曲	
Bolter Casing_Imperial	W	两边全程空（完全脚本驱动 / 需要触发条件）			低	36	—	—		只有导出有	0.0001	Mesh粒子 精灵图 1发射器 Matcap	
